year_month,total_debit,total_credit,txn_count,net
2006-01,6289436.0,1327559.0,4,-4961877.0
2006-02,81713.0,1634326.0,1,1552612.0
2006-03,2434791.0,0.0,2,-2434791.0
2006-04,563280.0,0.0,1,-563280.0
2006-05,0.0,1604881.0,0,1604881.0
2006-06,1928487.0,1699242.0,1,-229245.0
2006-07,0.0,978623.0,0,978623.0
2006-08,549805.0,2682030.0,2,2132225.0
2006-09,0.0,1579040.0,0,1579040.0
2006-10,0.0,1704095.0,0,1704095.0
2006-11,995429.0,3150678.0,1,2155249.0
2007-01,1417574.0,0.0,1,-1417574.0
2007-02,662071.0,1885881.0,1,1223810.0
2007-03,0.0,1335882.0,0,1335882.0
2007-04,1318500.0,1725462.0,1,406962.0
2007-05,59527.0,0.0,1,-59527.0
2007-06,0.0,2124.0,0,2124.0
2007-07,2092452.0,0.0,2,-2092452.0
2007-11,0.0,487568.0,0,487568.0
2007-12,4074157.0,3735317.0,3,-338840.0
2008-01,1159828.0,0.0,3,-1159828.0
2008-02,1830911.0,1928557.0,1,97646.0
2008-03,2845734.0,1495654.0,2,-1350079.0
2008-04,1095739.0,0.0,1,-1095739.0
2008-05,95791.0,0.0,1,-95791.0
2008-07,1497283.0,0.0,1,-1497283.0
2008-08,1331643.0,856287.0,2,-475356.0
2008-09,1025547.0,1763974.0,1,738428.0
2008-11,1133638.0,103248.0,1,-1030390.0
2008-12,0.0,1699457.0,0,1699457.0
2009-01,3724894.0,0.0,2,-3724894.0
2009-03,0.0,1401871.0,0,1401871.0
2009-05,1808238.0,1624574.0,2,-183664.0
2009-06,0.0,1894436.0,0,1894436.0
2009-08,3783084.0,1852578.0,2,-1930506.0
2009-09,0.0,1726559.0,0,1726559.0
2009-10,2209431.0,0.0,2,-2209431.0
2009-11,1502772.0,1485229.0,1,-17543.0
2009-12,2098949.0,1118773.0,2,-980176.0
2010-03,3302128.0,0.0,2,-3302128.0
2010-05,0.0,145015.0,0,145015.0
2010-06,300354.0,0.0,1,-300354.0
2010-07,1274790.0,1452701.0,1,177911.0
2010-08,764268.0,421821.0,1,-342446.0
2010-10,0.0,345751.0,0,345751.0
2011-01,505394.0,2423470.0,1,1918076.0
2011-02,0.0,135744.0,0,135744.0
2011-03,1862912.0,991658.0,1,-871253.0
2011-04,332828.0,0.0,1,-332828.0
2011-05,861325.0,0.0,1,-861325.0
2011-06,805620.0,1274005.0,1,468386.0
2011-07,314288.0,0.0,1,-314288.0
2011-08,0.0,945301.0,0,945301.0
2011-09,2439545.0,0.0,2,-2439545.0
2011-11,1601296.0,870953.0,1,-730343.0
2011-12,0.0,570202.0,0,570202.0
2012-03,150598.0,0.0,1,-150598.0
2012-05,5396046.0,0.0,5,-5396046.0
2012-06,3004958.0,795007.0,2,-2209951.0
2012-07,3424874.0,743063.0,2,-2681811.0
2012-08,3111745.0,1731770.0,2,-1379975.0
2012-09,875761.0,816981.0,1,-58780.0
2012-10,1385250.0,0.0,2,-1385250.0
2012-11,0.0,1429047.0,0,1429047.0
2013-02,0.0,1265009.0,0,1265009.0
2013-03,0.0,1075275.0,0,1075275.0
2013-04,0.0,2524399.0,0,2524399.0
2013-05,2686570.0,0.0,3,-2686570.0
2013-06,3247200.0,0.0,2,-3247200.0
2013-10,1074177.0,0.0,1,-1074177.0
2013-12,0.0,743997.0,0,743997.0
2014-01,0.0,801422.0,0,801422.0
2014-02,0.0,2452569.0,0,2452569.0
2014-03,1682516.0,0.0,2,-1682516.0
2014-05,2546259.0,1436849.0,2,-1109410.0
2014-07,0.0,875825.0,0,875825.0
2014-08,1984098.0,0.0,1,-1984098.0
2014-09,0.0,0.0,0,0.0
2014-10,0.0,0.0,0,0.0
2014-12,0.0,1626718.0,0,1626718.0
2015-02,572858.0,1597309.0,1,1024451.0
2015-04,1608636.0,460872.0,1,-1147764.0
2015-05,1163727.0,0.0,1,-1163727.0
2015-07,1411732.0,0.0,1,-1411732.0
2015-08,24355.0,0.0,1,-24355.0
2015-09,1980944.0,0.0,1,-1980944.0
2015-10,1767072.0,0.0,2,-1767072.0
2015-11,0.0,0.0,0,0.0
2015-12,1816575.0,0.0,1,-1816575.0
2016-02,0.0,1966145.0,0,1966145.0
2016-05,294126.0,2492283.0,1,2198157.0
2016-06,0.0,720011.0,0,720011.0
2016-07,1682976.0,1819416.0,1,136440.0
2016-08,2153783.0,847058.0,2,-1306725.0
2016-09,1589664.0,936018.0,1,-653646.0
2016-10,320160.0,0.0,1,-320160.0
2016-11,1888165.0,0.0,1,-1888165.0
2016-12,906644.0,0.0,1,-906644.0
2017-01,2821549.0,0.0,2,-2821549.0
2017-02,0.0,998099.0,0,998099.0
2017-04,0.0,1957957.0,0,1957957.0
2017-07,3646855.0,1096681.0,2,-2550174.0
2017-09,1616425.0,0.0,1,-1616425.0
2017-10,0.0,837515.0,0,837515.0
2018-04,3566080.0,1907169.0,2,-1658911.0
2018-05,3459275.0,0.0,3,-3459275.0
2018-06,1796050.0,1016714.0,1,-779336.0
2018-07,1721287.0,0.0,1,-1721287.0
2018-09,3653953.0,0.0,2,-3653953.0
2018-10,1985437.0,0.0,2,-1985437.0
2018-11,0.0,1522178.0,0,1522178.0
2018-12,660905.0,1793872.0,1,1132967.0
NaT,0.0,0.0,0,0.0
