project,source_file,raw_code,raw_desc,canon_code,canon_name,match_score,qty,rate,total,date,vendor,doc_no,matched
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,REBAR-16MM,rebar 5/8 inch,AGG-CRS-34,Coarse Aggregate 3/4 inch,66.66666666666667,330.2,123.0,47519.08,,rebar 5/8 inch,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,WIRE-7/029,CopWire7,WIR-COP-7,7/0.029 Copper Wire,66.66666666666667,168.0,96.0,18869.76,,CopWire7,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,FLOOR_TILE_12,TIL-CER12,,,0.0,217.9,95.0,20700.0,,TIL-CER12,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,S.BAR 12MM,12mm Steel Rebar,STL-RB-12,12mm Steel Rebar,100.0,,143.0,16078.49,,12mm Steel Rebar,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,MARBLE WHT,Marble Wht,MRB-IMP-W,Imported White Marble,75.0,,737.0,121151.75,,Marble Wht,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,BRK-A,BRK-A,,,0.0,345.3,13409.0,4630127.7,,BRK-A,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,CEMENT BAG 50KG,Cement Bag 50Kg,CEM-OPC-50,OPC Cement 50kg Bag,66.66666666666667,239.6,854.0,239403.53,,Cement Bag 50Kg,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,ASIF,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,BILL/15/888,Vendor:,,,0.0,,,,,Vendor:,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,SATTI_APTS,Date:,AGG-CRS-34,Coarse Aggregate 3/4 inch,60.0,,,,,Date:,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,"G.I.PIPE 2""",GalvPipe-2,,,0.0,,,,,GalvPipe-2,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,GENSET-25,25KVA Genset,GEN-25KVA,25 KVA Generator,86.95652173913044,,891410.0,,,25KVA Genset,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,CBL-ARM-95,AC-95sq,CBL-ARM-95,95mm² Armoured Cable,100.0,,768.0,,,AC-95sq,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,SAND-RIVER,River Sand,SND-RVR,River Sand,92.3076923076923,,39.0,10586.16,,River Sand,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,BRK-CLS-A,Red Brick A-Grade,BRK-CLS-A,Class-A Red Brick,100.0,302.1,12928.0,4569492.1,,Red Brick A-Grade,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,AGG-CRS-34,AGG-CRS34,AGG-CRS-34,Coarse Aggregate 3/4 inch,100.0,427.6,58.0,24800.8,,AGG-CRS34,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,GALVPIPE-1,GI PIPE 1IN,,,0.0,307.5,,68357.25,,GI PIPE 1IN,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,REBAR-12MM,REBAR-12MM,,,0.0,187.4,125.0,27407.25,,REBAR-12MM,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,COPWIRE3,Copper Wire 3/.029,WIR-COP-7,7/0.029 Copper Wire,75.86206896551724,264.7,58.0,15352.6,,Copper Wire 3/.029,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,"TILE 12X12""",floor_tile_12,TIL-CER-12,Ceramic Floor Tile 12x12,69.23076923076923,467.3,97.0,53033.88,,floor_tile_12,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,NASIR,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,,Date: 19/06/2016,,,0.0,,,,,Date: 19/06/2016,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,PROJECT: SATTI_APTS,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,SAND-RIVER,Sand (Fine),SND-RVR,River Sand,75.0,242.2,,9918.09,,Sand (Fine),,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,"G.I.PIPE 1""",GalvPipe-1,,,0.0,32.7,181.0,6924.88,,GalvPipe-1,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,PLYWD-12,12mm MR Plywood Sheet,PLY-MR-12,12mm MR Plywood Sheet,91.80327868852459,485.0,2055.0,1166109.75,,12mm MR Plywood Sheet,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,TARIQ,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,BILL-12-424,Vendor:,,,0.0,,,,,Vendor:,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,SATTI_APTS,Date:,AGG-CRS-34,Coarse Aggregate 3/4 inch,60.0,,,,,Date:,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,PIP-GI-1,GI PIPE 1IN,PIP-GI-1,"1"" GI Pipe",100.0,,190.0,103702.95,,GI PIPE 1IN,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,STEEL BAR 16,REBAR-16MM,,,0.0,321.2,128.0,48102.91,,REBAR-16MM,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,GLS-CLR-6,6mm Clear Glass,GLS-CLR-6,6mm Clear Glass,100.0,479.4,224.0,125641.15,,6mm Clear Glass,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,TIL-CER12,Ceramic Floor Tile 12x12,TIL-CER-12,Ceramic Floor Tile 12x12,95.0,,95.0,17683.97,,Ceramic Floor Tile 12x12,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,CLASS A BRICK,BRK-A,,,0.0,353.8,15643.0,5534493.4,,BRK-A,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,ASIF,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,BILL17135,Vendor:,,,0.0,,,,,Vendor:,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,SATTI_APTS,Date:,AGG-CRS-34,Coarse Aggregate 3/4 inch,60.0,,,,,Date:,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,ENAMEL WH.,Oil Paint (White) 4Ltr,PAI-OIL-W,Oil Paint (White) 4Ltr,100.0,,1881.0,,,Oil Paint (White) 4Ltr,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,IMP_MARBLE_W,MRB-IMP,,,0.0,,656.0,,,MRB-IMP,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,GRAVEL-3/4,coarse agg,AGG-CRS-34,Coarse Aggregate 3/4 inch,80.0,,50.0,,,coarse agg,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,GENERATOR 25KVA,25KVA Genset,GEN-25KVA,25 KVA Generator,86.95652173913044,,835331.0,,,25KVA Genset,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,RED BRICK A-GRADE,Class A Brick,BRK-CLS-A,Class-A Red Brick,66.66666666666667,,14609.0,,,Class A Brick,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,PIP-GI-1,PIP-GI1,PIP-GI-1,"1"" GI Pipe",100.0,,177.0,,,PIP-GI1,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,WC-STD,toilet_std,,,0.0,,13173.0,,,toilet_std,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,,Date: 06/07/2015,,,0.0,,,,,Date: 06/07/2015,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,PROJECT: SATTI_APTS,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,CEM_OPC_50,Cement Bag 50Kg,CEM-OPC-50,OPC Cement 50kg Bag,95.0,330.7,1085.0,419807.12,,Cement Bag 50Kg,,True
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,STEEL BAR 12,STL-RB12,,,0.0,229.9,127.0,29197.0,,STL-RB12,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,"C.AGG 3/4""",AGG-CRS34,,,0.0,357.5,51.0,18232.5,,AGG-CRS34,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,,,,,0.0,,,,,,,False
SATTI_APTS,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,KAMRAN,,,,0.0,,,,,,,False
