_project,contractor_code,contractor_name,num_bills,total_paid
SATTI_APTS,C001,Ahmad & Bros Construction,33,88190862.0
SATTI_APTS,C002,Iqbal Electrical,57,128107019.0
SATTI_APTS,C003,Rehman Plumbing,43,102075775.0
SATTI_APTS,C004,Noor Finishing,27,66899089.0
SATTI_APTS,C005,Baig Steel Fabricators,15,48219460.0
SATTI_APTS,C006,Qamar Civil Engineers,30,61631734.0
SATTI_APTS,C007,Bilal Tiles & Flooring,33,87486979.0
SATTI_APTS,C008,Sultan HVAC,27,53179243.0
SATTI_MALL,C001,Ahmad & Bros Construction,50,104927952.0
SATTI_MALL,C002,Iqbal Electrical,64,156068015.0
SATTI_MALL,C003,Rehman Plumbing,30,68652476.0
SATTI_MALL,C004,Noor Finishing,30,93373813.0
SATTI_MALL,C005,Baig Steel Fabricators,34,91030809.0
SATTI_MALL,C006,Qamar Civil Engineers,49,125202945.0
SATTI_MALL,C007,Bilal Tiles & Flooring,28,67785264.0
SATTI_MALL,C008,Sultan HVAC,57,167302254.0
SATTI_PLAZA,C001,Ahmad & Bros Construction,34,109773240.0
SATTI_PLAZA,C002,Iqbal Electrical,26,60807430.0
SATTI_PLAZA,C003,Rehman Plumbing,31,47307132.0
SATTI_PLAZA,C004,Noor Finishing,17,51000189.0
SATTI_PLAZA,C005,Baig Steel Fabricators,19,49922923.0
SATTI_PLAZA,C006,Qamar Civil Engineers,61,136401882.0
SATTI_PLAZA,C007,Bilal Tiles & Flooring,46,120773774.0
SATTI_PLAZA,C008,Sultan HVAC,48,141566469.0
