project,canon_code,canon_name,total_spend
SATTI_APTS,AGG-CRS-34,Coarse Aggregate 3/4 inch,135793.0
SATTI_APTS,ALM-WIN-4,4ft Aluminum Window,26297957.0
SATTI_APTS,BRK-CLS-A,Class-A Red Brick,5631209.0
SATTI_APTS,CBL-ARM-95,95mm² Armoured Cable,224009.0
SATTI_APTS,CEM-OPC-50,OPC Cement 50kg Bag,2164224.0
SATTI_APTS,CNC-RDY-M20,M20 Ready Mix Concrete,375565.0
SATTI_APTS,GEN-25KVA,25 KVA Generator,427256767.0
SATTI_APTS,GLS-CLR-6,6mm Clear Glass,448475.0
SATTI_APTS,MRB-IMP-W,Imported White Marble,1235372.0
SATTI_APTS,PAI-OIL-W,Oil Paint (White) 4Ltr,0.0
SATTI_APTS,PIP-GI-1,"1"" GI Pipe",301608.0
SATTI_APTS,PIP-GI-2,"2"" GI Pipe",196596.0
SATTI_APTS,PLY-MR-12,12mm MR Plywood Sheet,4234823.0
SATTI_APTS,SAN-WC-STD,Standard WC/Commode,1610318.0
SATTI_APTS,SND-RVR,River Sand,33431.0
SATTI_APTS,STL-RB-12,12mm Steel Rebar,30742.0
SATTI_APTS,STL-RB-16,16mm Steel Rebar,107988.0
SATTI_APTS,TIL-CER-12,Ceramic Floor Tile 12x12,147888.0
SATTI_APTS,WIR-COP-3,3/0.029 Copper Wire,38704.0
SATTI_APTS,WIR-COP-7,7/0.029 Copper Wire,141871.0
SATTI_MALL,AGG-CRS-34,Coarse Aggregate 3/4 inch,17493.0
SATTI_MALL,ALM-WIN-4,4ft Aluminum Window,28174307.0
SATTI_MALL,BRK-CLS-A,Class-A Red Brick,13440799.0
SATTI_MALL,CBL-ARM-95,95mm² Armoured Cable,786260.0
SATTI_MALL,CEM-OPC-50,OPC Cement 50kg Bag,566749.0
SATTI_MALL,CNC-RDY-M20,M20 Ready Mix Concrete,626232.0
SATTI_MALL,GEN-25KVA,25 KVA Generator,709506632.0
SATTI_MALL,GLS-CLR-6,6mm Clear Glass,218483.0
SATTI_MALL,MRB-IMP-W,Imported White Marble,121790.0
SATTI_MALL,PAI-OIL-W,Oil Paint (White) 4Ltr,1610198.0
SATTI_MALL,PIP-GI-1,"1"" GI Pipe",280445.0
SATTI_MALL,PIP-GI-2,"2"" GI Pipe",0.0
SATTI_MALL,PLY-MR-12,12mm MR Plywood Sheet,1165704.0
SATTI_MALL,SAN-WC-STD,Standard WC/Commode,0.0
SATTI_MALL,SND-RVR,River Sand,17221.0
SATTI_MALL,STL-RB-12,12mm Steel Rebar,46695.0
SATTI_MALL,STL-RB-16,16mm Steel Rebar,186095.0
SATTI_MALL,TIL-CER-12,Ceramic Floor Tile 12x12,67525.0
SATTI_MALL,WIR-COP-3,3/0.029 Copper Wire,50880.0
SATTI_MALL,WIR-COP-7,7/0.029 Copper Wire,128524.0
SATTI_PLAZA,AGG-CRS-34,Coarse Aggregate 3/4 inch,44145.0
SATTI_PLAZA,ALM-WIN-4,4ft Aluminum Window,11015508.0
SATTI_PLAZA,BRK-CLS-A,Class-A Red Brick,8909523.0
SATTI_PLAZA,CBL-ARM-95,95mm² Armoured Cable,332307.0
SATTI_PLAZA,CEM-OPC-50,OPC Cement 50kg Bag,856024.0
SATTI_PLAZA,CNC-RDY-M20,M20 Ready Mix Concrete,203445.0
SATTI_PLAZA,GEN-25KVA,25 KVA Generator,433166440.0
SATTI_PLAZA,GLS-CLR-6,6mm Clear Glass,138545.0
SATTI_PLAZA,MRB-IMP-W,Imported White Marble,192732.0
SATTI_PLAZA,PAI-OIL-W,Oil Paint (White) 4Ltr,888287.0
SATTI_PLAZA,PIP-GI-1,"1"" GI Pipe",66507.0
SATTI_PLAZA,PIP-GI-2,"2"" GI Pipe",87378.0
SATTI_PLAZA,PLY-MR-12,12mm MR Plywood Sheet,1956582.0
SATTI_PLAZA,SAN-WC-STD,Standard WC/Commode,0.0
SATTI_PLAZA,SND-RVR,River Sand,32663.0
SATTI_PLAZA,STL-RB-12,12mm Steel Rebar,152889.0
SATTI_PLAZA,STL-RB-16,16mm Steel Rebar,0.0
SATTI_PLAZA,TIL-CER-12,Ceramic Floor Tile 12x12,18228.0
SATTI_PLAZA,WIR-COP-3,3/0.029 Copper Wire,15473.0
SATTI_PLAZA,WIR-COP-7,7/0.029 Copper Wire,40487.0
