project,canon_code,canon_name,total_received,total_issued,avg_closing
SATTI_APTS,AGG-CRS-34,Coarse Aggregate 3/4 inch,928.4,1363.5,81.8
SATTI_APTS,ALM-WIN-4,4ft Aluminum Window,390.4,309.2,156.6
SATTI_APTS,BRK-CLS-A,Class-A Red Brick,1244.9,855.7,107.9
SATTI_APTS,CBL-ARM-95,95mm² Armoured Cable,1148.1,1064.7,101.0
SATTI_APTS,CEM-OPC-50,OPC Cement 50kg Bag,869.3,511.8,113.8
SATTI_APTS,CNC-RDY-M20,M20 Ready Mix Concrete,819.8,568.6,106.2
SATTI_APTS,GEN-25KVA,25 KVA Generator,1037.5,236.2,137.4
SATTI_APTS,GLS-CLR-6,6mm Clear Glass,873.2,521.2,113.9
SATTI_APTS,MRB-IMP-W,Imported White Marble,537.3,470.6,317.1
SATTI_APTS,PAI-OIL-W,Oil Paint (White) 4Ltr,1330.7,991.6,376.0
SATTI_APTS,PIP-GI-1,"1"" GI Pipe",594.2,447.9,139.0
SATTI_APTS,PIP-GI-2,"2"" GI Pipe",254.1,257.6,26.0
SATTI_APTS,PLY-MR-12,12mm MR Plywood Sheet,464.8,428.1,144.9
SATTI_APTS,SAN-WC-STD,Standard WC/Commode,884.0,838.8,184.3
SATTI_APTS,SND-RVR,River Sand,724.6,712.5,156.2
SATTI_APTS,STL-RB-12,12mm Steel Rebar,152.5,97.0,
SATTI_APTS,STL-RB-16,16mm Steel Rebar,1170.4,249.0,245.6
SATTI_APTS,TIL-CER-12,Ceramic Floor Tile 12x12,928.3,444.2,113.7
SATTI_APTS,WIR-COP-3,3/0.029 Copper Wire,927.7,758.6,202.0
SATTI_APTS,WIR-COP-7,7/0.029 Copper Wire,1110.5,278.9,189.6
SATTI_MALL,AGG-CRS-34,Coarse Aggregate 3/4 inch,69.0,120.2,
SATTI_MALL,ALM-WIN-4,4ft Aluminum Window,293.9,313.1,
SATTI_MALL,BRK-CLS-A,Class-A Red Brick,583.0,243.4,
SATTI_MALL,CBL-ARM-95,95mm² Armoured Cable,279.9,161.1,
SATTI_MALL,CEM-OPC-50,OPC Cement 50kg Bag,1062.2,445.9,
SATTI_MALL,CNC-RDY-M20,M20 Ready Mix Concrete,1206.9,508.9,
SATTI_MALL,GEN-25KVA,25 KVA Generator,1928.1,1021.2,
SATTI_MALL,GLS-CLR-6,6mm Clear Glass,1090.8,570.7,
SATTI_MALL,MRB-IMP-W,Imported White Marble,482.3,553.8,
SATTI_MALL,PAI-OIL-W,Oil Paint (White) 4Ltr,496.2,412.4,
SATTI_MALL,PIP-GI-1,"1"" GI Pipe",563.4,362.4,
SATTI_MALL,PLY-MR-12,12mm MR Plywood Sheet,599.4,330.7,
SATTI_MALL,SAN-WC-STD,Standard WC/Commode,423.7,214.9,
SATTI_MALL,SND-RVR,River Sand,466.8,754.4,
SATTI_MALL,STL-RB-12,12mm Steel Rebar,545.5,272.5,
SATTI_MALL,STL-RB-16,16mm Steel Rebar,178.2,83.5,
SATTI_MALL,TIL-CER-12,Ceramic Floor Tile 12x12,269.5,126.7,
SATTI_MALL,WIR-COP-3,3/0.029 Copper Wire,207.0,28.5,
SATTI_MALL,WIR-COP-7,7/0.029 Copper Wire,385.1,252.1,
SATTI_PLAZA,AGG-CRS-34,Coarse Aggregate 3/4 inch,887.1,469.8,118.5
SATTI_PLAZA,ALM-WIN-4,4ft Aluminum Window,764.9,592.0,25.6
SATTI_PLAZA,BRK-CLS-A,Class-A Red Brick,792.0,756.7,503.5
SATTI_PLAZA,CBL-ARM-95,95mm² Armoured Cable,182.9,187.1,143.2
SATTI_PLAZA,CEM-OPC-50,OPC Cement 50kg Bag,1375.5,658.7,227.5
SATTI_PLAZA,CNC-RDY-M20,M20 Ready Mix Concrete,719.7,453.0,30.0
SATTI_PLAZA,GEN-25KVA,25 KVA Generator,188.5,498.8,237.9
SATTI_PLAZA,GLS-CLR-6,6mm Clear Glass,52.4,29.1,20.4
SATTI_PLAZA,MRB-IMP-W,Imported White Marble,456.9,402.3,440.2
SATTI_PLAZA,PAI-OIL-W,Oil Paint (White) 4Ltr,336.1,316.0,132.0
SATTI_PLAZA,PIP-GI-1,"1"" GI Pipe",1100.6,470.3,198.6
SATTI_PLAZA,PIP-GI-2,"2"" GI Pipe",849.2,303.3,248.0
SATTI_PLAZA,PLY-MR-12,12mm MR Plywood Sheet,1194.6,471.8,216.0
SATTI_PLAZA,SAN-WC-STD,Standard WC/Commode,590.3,207.3,55.8
SATTI_PLAZA,SND-RVR,River Sand,534.1,548.0,32.1
SATTI_PLAZA,STL-RB-12,12mm Steel Rebar,1099.7,235.6,346.8
SATTI_PLAZA,STL-RB-16,16mm Steel Rebar,93.3,219.4,87.9
SATTI_PLAZA,TIL-CER-12,Ceramic Floor Tile 12x12,553.9,277.6,284.2
SATTI_PLAZA,WIR-COP-3,3/0.029 Copper Wire,249.4,166.8,154.8
SATTI_PLAZA,WIR-COP-7,7/0.029 Copper Wire,877.2,870.3,189.5
