_project,trade,workers,total_wages
SATTI_APTS,Carpenter,18,334100.0
SATTI_APTS,Electrician,15,331080.0
SATTI_APTS,Helper,24,254760.0
SATTI_APTS,Mason,21,360180.0
SATTI_APTS,Painter,27,439620.0
SATTI_APTS,Plumber,37,755590.0
SATTI_APTS,Security Guard,17,236110.0
SATTI_APTS,Site Engineer,17,819250.0
SATTI_APTS,Supervisor,24,749520.0
SATTI_APTS,Welder,23,444290.0
SATTI_MALL,Carpenter,12,220300.0
SATTI_MALL,Electrician,10,224400.0
SATTI_MALL,Helper,16,168840.0
SATTI_MALL,Mason,8,108630.0
SATTI_MALL,Painter,9,150875.0
SATTI_MALL,Plumber,7,114510.0
SATTI_MALL,Security Guard,16,210140.0
SATTI_MALL,Site Engineer,10,513750.0
SATTI_MALL,Supervisor,7,230400.0
SATTI_MALL,Welder,20,397760.0
SATTI_PLAZA,Carpenter,26,496200.0
SATTI_PLAZA,Electrician,22,489840.0
SATTI_PLAZA,Helper,22,234420.0
SATTI_PLAZA,Mason,21,344970.0
SATTI_PLAZA,Painter,22,347735.0
SATTI_PLAZA,Plumber,18,381920.0
SATTI_PLAZA,Security Guard,14,184660.0
SATTI_PLAZA,Site Engineer,26,1255750.0
SATTI_PLAZA,Supervisor,24,922500.0
SATTI_PLAZA,Welder,16,337150.0
