date,description,debit,credit,balance,ref_no,_source_file,_folder,_project
Account: MCB-9988776655  –  Operations Account,,,,,,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
Generated: 01/09/2018,,,,,,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-05,Running Bill,1979524.73,,-523406.78,REF94989,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-10,Petty Cash,,1327558.73,804151.95,REF69153,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-23,Transfer,1520407.87,,-716255.92,REF43805,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-04-07,Contractor Bill,563280.02,,-1279535.94,REF48236,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-08-19,Advance,,1360188.87,80652.93,REF90295,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-09-26,Utility Bill,,1579040.04,1659692.97,REF79936,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-10-14,Running Bill,,754071.42,2413764.0,REF70005,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-11-19,Online Transfer,,1600077.17,4013841.56,REF46049,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-01-29,DD Issued,,,5045342.16,REF98321,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-02-22,DD Issued,662071.33,,4383270.83,REF41914,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-02-24,Contractor Bill,,1473538.36,5856809.0,REF77905,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-03-16,Transfer,,142569.81,5999379.0,REF82601,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-03-26,Advance,,1193312.13,7192691.13,REF75546,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-04-22,Ref PO-APT-3353,1318500.06,,5874191.07,REF11089,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-07-06,Material Purchase,313237.1,,5560953.97,REF74925,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-11-13,DD Issued,,,4890395.97,REF73474,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-01-21,Contractor Bill,204847.28,,4685548.69,REF99533,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-04-21,Vendor Payment,,,5246350.36,REF69725,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-04-27,Utility Bill,1095739.0,,4150611.35,REF70032,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-05-19,Utility Bill,95791.17,,4054820.18,REF65551,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-08-28,Ref PO-APT-8594,,856287.14,4911107.32,REF78778,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-05-02,Material Purchase,587094.92,,4324012.4,REF40880,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-05-27,Security Deposit,1221142.95,,3102869.45,REF10427,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-09-01,Running Bill,,870493.46,3973362.91,REF86208,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
