date,description,debit,credit,balance,ref_no,_source_file,_folder,_project
Account: Meezan-1122334455  –  Project Account – Plaza,,,,,,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
Generated: 01/09/18,,,,,,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-03-08,Online Transfer,1289805.0,,347168.2,REF57246,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-03-20,Petty Cash,1144986.0,,,REF97910,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-06-30,Contractor Bill,1928487.02,,-2726304.81,REF66497,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-07-30,Cheque Clearance,,978623.0,-1747681.66,REF81808,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-08-01,Material Purchase,231187.85,,-1978869.51,REF24681,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-08-09,Utility Bill,318617.46,,-2297486.97,REF74630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-10-09,Vendor Payment,,950023.77,-1347463.2,REF30119,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-14,Petty Cash,,919001.35,-428461.85,REF61691,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-20,Security Deposit,995429.0,,-1423890.63,REF98059,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-27,Petty Cash,,631599.03,-792291.6,REF85147,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-02-20,Petty Cash,,412343.0,-379948.85,REF89630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-04-10,Ref PO-PLZ-6607,,1725462.2,1345513.35,REF42482,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-05-07,DD Issued,59527.0,,1285986.0,REF74943,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-05-16,Advance,,,-26286.49,REF14013,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-07-17,Material Purchase,1779215.17,,-1805501.66,REF35257,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-11-16,Security Deposit,,487568.25,-1317933.41,REF28630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-09,Ref PO-APT-2416,,1826755.09,508821.68,REF45959,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-09,Online Transfer,,226026.81,734848.49,REF50739,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-14,DD Issued,1502231.03,,-767382.54,REF74099,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-16,Advance,,1682535.0,915152.04,REF40852,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-27,Utility Bill,1038244.78,,-123092.74,REF44832,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-27,Transfer,1533681.14,,-1656773.88,REF32106,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-10,DD Issued,75595.0,,-1732369.34,REF45304,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-21,Security Deposit,879385.35,,-2611754.69,REF18970,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-26,Vendor Payment,,,-2849161.92,REF21708,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-07-21,Running Bill,1497282.95,,-4346444.87,REF55958,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-08-08,DD Issued,797074.84,,-5143519.71,REF40339,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-08-12,Material Purchase,534568.01,,-5678087.72,REF51256,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-11-18,Utility Bill,1133638.0,,-6811726.07,REF10910,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-01-15,Salary,1910606.82,,-8722332.89,REF78506,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-01-21,Security Deposit,1814287.09,,-10536619.98,REF68329,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
