row_no,item_of_work,unit,qty,rate,amount,remarks,_source_file,_folder,_project
Bill No:,RB-SAT-C008-01,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Date:,"October 26, 2011",,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Project:,SATTI_PLAZA,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Contractor:,Sultan HVAC Services,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Scope:,HVAC,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Contract Value:,9086521.17,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
1,Plumbing Fixture,nos,818.4,2202.0,1802116.8,As per BOQ,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
2,PCC 1:4:8,cft,4443.9,351.0,1559808.9,Verified,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
3,Window Frame,nos,2980.6,156.0,464973.6,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
4,Door Frame,nos,,2296.0,4615648.8,As per BOQ,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
,,,,,1267261.06,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
,,,,,5530121.58,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
,,,,,126726.11,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
,,,,,1140534.95,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
Prepared:,,Checked:,,,,,contractor_bills\SATTI_PLAZA_C008_RunBill_01.xlsx,contractor_bills,SATTI_PLAZA
