row_no,item_of_work,unit,qty,rate,amount,remarks,_source_file,_folder,_project
Bill No:,RB-SAT-C001-01,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Date:,03-Nov-2016,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Project:,SATTI_APTS,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Contractor:,Ahmad & Bros Construction,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Scope:,Civil Works,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Contract Value:,3576572.53,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
1,PCC 1:4:8,cft,3256.8,2159.0,7031431.2,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
2,Painting,sft,3951.4,333.0,1315816.2,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
3,Plastering,sft,678.8,1295.0,879046.0,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
4,Door Frame,nos,2114.9,1926.0,4073297.4,Verified,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
5,Electrical Wiring,point,420.2,2028.0,852165.6,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
6,Plumbing Fixture,nos,533.2,2498.0,1331933.6,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
7,Excavation,cft,4362.2,1605.0,7001331.0,Verified,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
,,,,,393670.0,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
,,,,,1154256.44,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
,,,,,39367.03,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
,,,,,354303.23,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Prepared:,,Checked:,,,,,contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Bill No:,RB-SAT-C001-02,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Date:,2016/05/12,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Project:,SATTI_APTS,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Contractor:,Ahmad & Bros Construction,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Scope:,Civil Works,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Contract Value:,619952.13,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
1,Electrical Wiring,point,4357.1,1898.0,8269775.8,Verified,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
2,Excavation,cft,4464.9,383.0,1710056.7,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
3,RCC M20,cft,2129.8,1404.0,2990239.2,Disputed,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
4,Window Frame,nos,4105.6,1950.0,8005920.0,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
5,Plastering,sft,3802.4,2258.0,8585819.2,Verified,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
6,Flooring,sft,1120,623.0,697760.0,Verified,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
7,Door Frame,nos,3590.1,1532.0,5500033.2,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
8,Brick Masonry,cft,"PKR 3,188",1077.0,3433691.4,Verified,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
9,PCC 1:4:8,cft,842.6,147.0,,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
,,,,,70026.55,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
,,,,,61931.32,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
,,,,,7002.66,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
,,,,,63023.89,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Prepared:,,Checked:,,,,,contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,contractor_bills,SATTI_APTS
Bill No:,RB-SAT-C001-03,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Date:,"March 15, 2015",,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Project:,SATTI_APTS,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Contractor:,Ahmad & Bros Construction,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Scope:,Civil Works,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Contract Value:,4393698.75,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
1,Excavation,cft,4915,2171.0,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
2,Electrical Wiring,point,TBD,1994.0,8397731.0,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
3,Window Frame,nos,507.4,1357.0,688541.8,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
4,Door Frame,nos,3440.8,577.0,1985341.6,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
5,PCC 1:4:8,cft,"PKR 4,650",1959.0,9110329.5,Disputed,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
6,Painting,sft,2076.4,,793184.8,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
7,Brick Masonry,cft,1701.4,1216.0,2068902.4,As per BOQ,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
,,,,,232655.31,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
,,,,,859622.46,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
,,,,,23266.0,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
,,,,,209389.78,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Prepared:,,Checked:,,,,,contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,contractor_bills,SATTI_APTS
Bill No:,RB-SAT-C002-01,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Date:,2017/10/01,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Project:,SATTI_APTS,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Contractor:,Iqbal Electrical Contractors,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Scope:,Electrical,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
Contract Value:,,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
1,PCC 1:4:8,cft,"1,292/-",650.0,839540.0,Verified,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
2,Electrical Wiring,point,TBD,2261.0,8896356.7,,contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,contractor_bills,SATTI_APTS
