project,nan,nan_2,nan_3,nan_4,_source_file,_folder,_project
"Location: 56-C Satellite Town, RWP",,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Period: 2015-03-01 to 2018-07-31,,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Piling & Foundation,3437958,2431510,-1006448,70.7%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Structural Concrete,"PKR 2,148,193",2296822,148629,106.9%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Masonry,2846535,2955553,"PKR 109,018",103.8%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Plastering & Rendering,5687314.0,6214120,526806,109.3%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Flooring,5328635,4650569,,87.3%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Doors & Windows,5143979,5561942,417963,108.1%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Electrical Works,1675717,1483434,-192283,88.5%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Plumbing & Sanitary,"PKR 531,332",409161,-122171,77.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Painting & Finishing,792147,721038,-71109,91.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
HVAC & Elevators,1265634,1136140,-129494,89.8%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Site Overhead,6695493,5063526,-1631967,75.6%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Contingency,4301307,5159498,858191,120.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Note: Figures in PKR. Some costs estimated.,,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
