project,nan,nan_2,nan_3,nan_4,_source_file,_folder,_project
"Location: Haji Chowk, Rawalpindi",,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Period: 2006-05-01 to 2008-02-28,,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Piling & Foundation,TBD,"7,127,450/-",339918.0,105.0%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Structural Concrete,2614542,2583047,-31495,98.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Masonry,1272335,"PKR 1,163,502",-108833,91.4%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Plastering & Rendering,5534647,5052676,-481971,91.3%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Flooring,5110687.0,4890915,-219772,95.7%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Doors & Windows,2921760,3501478,"PKR 579,718",119.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Electrical Works,6384706,"PKR 5,347,798",-1036908,83.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Plumbing & Sanitary,"PKR 5,822,414",5633759,-188655,96.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Painting & Finishing,5465028,4169658,"-1,295,370/-",76.3%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
HVAC & Elevators,4642335,5132408,TBD,110.6%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Site Overhead,7951026,6187575,-1763451,77.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Contingency,1813636,"2,227,869/-",414233,122.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Note: Figures in PKR. Some costs estimated.,,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
