project,nan,nan_2,nan_3,nan_4,_source_file,_folder,_project
"Location: Stadium Road, Rawalpindi",,,,,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Period: 2011-04-01 to 2014-06-30,,,,,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Piling & Foundation,549719,386161,,70.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Structural Concrete,"4,157,512/-",3684227,-473285.0,88.6%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Masonry,1694082,"1,841,161/-",147079,108.7%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Plastering & Rendering,3206392,2890933,-315459,90.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Flooring,5146355,"5,466,467/-",320112,106.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Doors & Windows,3543431,2736891,"PKR -806,540",77.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Electrical Works,1232564,978797,-253767,79.4%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Plumbing & Sanitary,1781076,1296517,-484559,72.8%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Painting & Finishing,7314107,6494268,-819839,88.8%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
HVAC & Elevators,2012474,2042813,30339.0,101.5%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Site Overhead,2284308,2296792,"PKR 12,484",100.5%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Contingency,867308,649057,-218251,74.8%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Note: Figures in PKR. Some costs estimated.,,,,,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
