row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project,credit,debit,closing_stock,nan,
Project: SATTI_APTS   Month: July 2015,,,,,,,,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
1,RMC_M20,RMC-M20,cft,115.2,,219.5,33.1,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
2,WIRE_7029,Copper Wire 7/.029,mtr,181.2,403.1,201.0,383.3,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
3,GI PIPE 2IN,GI PIPE 2IN,rft,58.5,477.3,139.1,396.7,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
4,ARMD-CBL-95,95mm² Armoured Cable,mtr,15.7,332.8,321.7,26.8,Surplus,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
5,ALUM WINDOW 4FT,ALM-W4,nos,94.8,271.9,39.5,327.0,OK,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
6,WIRE_3029,WIRE-3/029,mtr,166.1,187.3,,203.8,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
7,COMMODE STANDARD,Standard WC/Commode,nos,102.7,262.9,,178.7,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
8,TIL-CER12,Ceramic Floor Tile 12x12,sft,120.7,215.7,6.8,329.6,Surplus,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
9,SND-RVR,SAND-RIVER,cft,67.1,356.1,305.2,118.0,Surplus,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
10,BRICKS_A,Class-A Red Brick,1000,189.5,476.1,143.3,522.3,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
11,REBAR-16MM,16mm Steel Rebar,kg,131.5,325.1,26.1,430.5,OK,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
12,SHEESHA 6MM,GLS-CLR6,sft,21.4,127.7,70.3,78.8,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
13,MAR-W-IMP,MAR-W-IMP,sft,,374.0,309.5,182.8,Reorder,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
14,GENERATOR 25KVA,GENSET-25,nos,45.0,397.8,392.6,50.2,Surplus,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
15,GALVPIPE-1,"1"" GI Pipe",rft,64.1,204.0,183.2,84.9,Reorder,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Jul2015.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: July 2016,,,,,,,,,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
1,S.BAR 12MM,STL-RB12,kg,147.0,472.5,58.3,561.2,,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
2,ALM-W4,ALM-W4,nos,147.0,216.9,112.0,251.4,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
3,GRAVEL-3/4,coarse agg,cft,174.5,,207.4,102.5,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
4,RED BRICK A-GRADE,BRICK-CLA,1000,88.0,175.5,235.5,27.8,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
5,MAR-W-IMP,Imported White Marble,sft,122.5,,42.3,368.2,OK,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
6,PLYWD-12,PLYWD-12,sht,166.2,67.1,195.7,37.6,OK,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
7,GEN-25KVA,gen_25kva,nos,,390.0,15.5,,,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
8,PAI-OIL,Oil Paint (White) 4Ltr,tin,126.8,87.2,102.8,111.2,,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
9,CBL-ARM95,arm_cable_95,mtr,69.4,116.0,71.0,114.2,OK,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
10,CNC-RDY-M20,M20 Concrete,cft,158.6,391.7,168.1,382.0,Surplus,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
11,OPC 50 KG,cem_opc_50,bag,37.6,205.1,48.9,193.8,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
12,TILE-12X12,Ceramic Floor Tile 12x12,sft,187.8,368.8,212.0,344.4,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
13,WIR-CP3,WIRE-3/029,mtr,49.8,281.0,126.9,204.0,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
