date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2018-07-01,Security Tip,PC-597,,14889.0,14618.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-02,Site Cleaning,PC-522,11439.0,,26057.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-03,Site Cleaning,PC-386,,11234.0,14823.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-04,Misc Stationery,PC-308,,8756.0,6067.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-05,Tea & Refreshment,PC-348,,4951.0,1116.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-06,Small Tool Purchase,PC-962,,7164.0,,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-07,Misc Stationery,PC-824,,12394.0,-18442.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-08,Phone Balance,PC-091,,13638.0,-32080.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-09,Water Supply,PC-952,,11639.0,-43719.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-10,Water Supply,PC-257,,7048.0,-50767.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-11,Newspaper,PC-481,,14965.0,-65732.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-12,Small Tool Purchase,PC-776,,4331.0,-70063.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-13,Security Tip,PC-194,,1621.0,,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-14,Courier Charges,PC-791,,14281.0,,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-15,Small Tool Purchase,PC-772,,3499.0,-89464.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-16,Site Cleaning,PC-247,,5998.0,-95462.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-17,Rickshaw Fare,PC-350,7627.0,,-87835.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-18,Garbage Removal,PC-543,,4911.0,-92746.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-19,Petrol,PC-231,3637.0,,-89109.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-20,Misc Stationery,PC-335,,6580.0,-95689.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-21,Security Tip,PC-774,,6812.0,-102501.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-22,Small Tool Purchase,PC-599,12459.0,,-90042.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-23,Emergency Repair,PC-376,11736.0,,,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-24,Site Cleaning,PC-396,,13627.0,-91933.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
2018-07-25,Newspaper,PC-537,,948.0,-92881.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,0.0,petty_cash\SATTI_APTS_PettyCash_Jul2018.xlsx,petty_cash,SATTI_APTS
