date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2016-03-01,Newspaper,PC-731,,3191.0,,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-02,Newspaper,PC-698,,1876.0,23318.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-03,Rickshaw Fare,PC-715,,3377.0,19941.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-04,Water Supply,PC-462,,,14557.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-05,Courier Charges,PC-226,,13284.0,1273.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-06,Small Tool Purchase,PC-978,,4494.0,-3221.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-07,Water Supply,PC-776,,593.0,-3814.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-08,Garbage Removal,PC-480,6608.0,,2794.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-09,Tea & Refreshment,PC-184,,14306.0,,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-10,Photocopies,PC-443,,3998.0,-15510.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-11,Rickshaw Fare,PC-086,9299.0,,-6211.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-12,Tea & Refreshment,PC-290,,9683.0,-15894.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-13,Emergency Repair,PC-077,7924.0,,-7970.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-14,Small Tool Purchase,PC-266,,4932.0,-12902.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-15,Tea & Refreshment,PC-239,,7443.0,-20345.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-16,Water Supply,PC-008,,7484.0,-27829.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-17,Rickshaw Fare,PC-676,6853.0,,-20976.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-18,Water Supply,PC-918,,4965.0,-25941.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-19,Postage,PC-454,,6928.0,-32869.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-20,Security Tip,PC-707,582.0,,-32287.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-21,Photocopies,PC-065,,,-33819.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-22,Small Tool Purchase,PC-032,,12778.0,-46597.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-23,Tea & Refreshment,PC-411,,2846.0,-49443.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-24,Security Tip,PC-974,,12512.0,-61955.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-25,Rickshaw Fare,PC-554,,10091.0,-72046.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
2016-03-26,Small Tool Purchase,PC-416,,13703.0,-85749.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,0.0,petty_cash\SATTI_APTS_PettyCash_Mar2016.xlsx,petty_cash,SATTI_APTS
