date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2015-05-01,Security Tip,PC-371,,6588.0,38252.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-02,Postage,PC-745,,6625.0,31627.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-03,Photocopies,PC-671,13190.0,,44817.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-04,Emergency Repair,PC-636,,1060.0,43757.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-05,Misc Stationery,PC-553,,12583.0,31174.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-06,Emergency Repair,PC-375,11683.0,,42857.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-07,Emergency Repair,PC-392,,5407.0,37450.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-08,Photocopies,PC-155,,6373.0,31077.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-09,Misc Stationery,PC-617,,9556.0,21521.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-10,Water Supply,PC-135,,4462.0,17059.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-11,Tea & Refreshment,PC-241,,14325.0,2734.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-12,Small Tool Purchase,PC-859,,9010.0,-6276.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-13,Rickshaw Fare,PC-542,,,-3987.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-14,Tea & Refreshment,PC-779,4344.0,,357.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-15,Tea & Refreshment,PC-876,,2925.0,-2568.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-16,Photocopies,PC-272,,7091.0,-9659.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-17,Postage,PC-013,,556.0,-10215.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-18,Water Supply,PC-707,10230.0,,15.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-19,Newspaper,PC-226,,7226.0,-7211.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-20,Photocopies,PC-455,,1160.0,-8371.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-21,Courier Charges,PC-296,,8450.0,,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-22,Site Cleaning,PC-913,,6534.0,-23355.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-23,Photocopies,PC-622,,,-34581.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-24,Site Cleaning,PC-061,,14433.0,-49014.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-25,Misc Stationery,PC-584,,3494.0,-52508.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
2015-05-26,Postage,PC-660,,8186.0,-60694.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,0.0,petty_cash\SATTI_APTS_PettyCash_May2015.xlsx,petty_cash,SATTI_APTS
