date,description,doc_no,debit,balance,_source_file,_folder,_project
2015-11-01,Photocopies,PC-585,9572.0,10521.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-02,Misc Stationery,PC-827,12784.0,-2263.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-03,Newspaper,PC-969,7420.0,-9683.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-04,Postage,PC-729,12337.0,-22020.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-05,Misc Stationery,PC-800,7119.0,-29139.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-06,Petrol,PC-427,13191.0,-42330.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-07,Water Supply,PC-762,4614.0,-46944.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-08,Photocopies,PC-515,7795.0,-54739.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-09,Phone Balance,PC-966,10492.0,-65231.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-10,Rickshaw Fare,PC-911,13433.0,-78664.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-11,Garbage Removal,PC-638,9820.0,-88484.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-12,Emergency Repair,PC-089,4995.0,-93479.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-13,Misc Stationery,PC-713,14630.0,-108109.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
2015-11-14,Petrol,PC-594,,-108718.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,0.0,petty_cash\SATTI_APTS_PettyCash_Nov2015.xlsx,petty_cash,SATTI_APTS
