date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2017-11-01,Newspaper,PC-864,,8193.0,-2614.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-02,Newspaper,PC-423,,5077.0,-7691.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-03,Newspaper,PC-896,9812.0,,2121.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-04,Courier Charges,PC-478,,7637.0,-5516.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-05,Petrol,PC-395,,9636.0,-15152.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-06,Photocopies,PC-520,,4695.0,,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-07,Small Tool Purchase,PC-287,,5030.0,-24877.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-08,Water Supply,PC-178,,9244.0,-34121.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-09,Phone Balance,PC-370,,12523.0,-46644.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-10,Misc Stationery,PC-160,,1793.0,-48437.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-11,Water Supply,PC-338,,6834.0,-55271.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-12,Emergency Repair,PC-849,,902.0,-56173.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-13,Tea & Refreshment,PC-468,,6931.0,-63104.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-14,Rickshaw Fare,PC-870,,5080.0,-68184.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-15,Photocopies,PC-819,,7607.0,-75791.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
2017-11-16,Garbage Removal,PC-005,,13512.0,-89303.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,0.0,petty_cash\SATTI_APTS_PettyCash_Nov2017.xlsx,petty_cash,SATTI_APTS
