date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2007-01-01,Tea & Refreshment,PC-984,1814.0,,32277.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-02,Petrol,PC-353,4799.0,,37076.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-03,Newspaper,PC-341,,12199.0,24877.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-04,Site Cleaning,PC-888,,14174.0,10703.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-05,Small Tool Purchase,PC-148,,7936.0,2767.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-06,Rickshaw Fare,PC-303,,,360.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-07,Garbage Removal,PC-478,,1928.0,-1568.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-08,Misc Stationery,PC-258,,5101.0,-6669.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-09,Phone Balance,PC-163,,7760.0,-14429.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-10,Petrol,PC-726,,5819.0,-20248.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-11,Water Supply,PC-714,,4629.0,-24877.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-12,Phone Balance,PC-321,,1023.0,-25900.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-13,Small Tool Purchase,PC-369,,,-39587.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-14,Photocopies,PC-098,,2217.0,-41804.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-15,Courier Charges,PC-264,,13497.0,-55301.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-16,Emergency Repair,PC-397,,2002.0,-57303.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-17,Postage,PC-392,11869.0,,-45434.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-18,Courier Charges,PC-610,,3230.0,-48664.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-19,Site Cleaning,PC-233,,10316.0,-58980.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-20,Photocopies,PC-638,,14006.0,-72986.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-21,Water Supply,PC-211,11300.0,,-61686.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-22,Site Cleaning,PC-757,,9075.0,-70761.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-23,Courier Charges,PC-752,,6318.0,-77079.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-24,Tea & Refreshment,PC-971,,7774.0,-84853.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
2007-01-25,Postage,PC-158,5622.0,,-79231.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
Closing Balance:,,,,,0.0,petty_cash\SATTI_MALL_PettyCash_Jan2007.xlsx,petty_cash,SATTI_MALL
