date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2007-07-01,Security Tip,PC-989,,9355.0,848.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-02,Security Tip,PC-424,,11006.0,-10158.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-03,Small Tool Purchase,PC-705,,6213.0,-16371.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-04,Garbage Removal,PC-775,,1130.0,-17501.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-05,Petrol,PC-992,,5332.0,-22833.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-06,Misc Stationery,PC-972,,4541.0,-27374.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-07,Phone Balance,PC-053,,4219.0,,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-08,Petrol,PC-907,,7493.0,-39086.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-09,Rickshaw Fare,PC-754,,13104.0,-52190.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-10,Security Tip,PC-598,,9362.0,-61552.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-11,Newspaper,PC-829,5433.0,,-56119.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-12,Newspaper,PC-037,,12980.0,-69099.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-13,Phone Balance,PC-174,,3772.0,-72871.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-14,Small Tool Purchase,PC-626,,12510.0,-85381.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-15,Tea & Refreshment,PC-243,,5125.0,-90506.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-16,Emergency Repair,PC-992,,14139.0,-104645.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-17,Small Tool Purchase,PC-381,,3141.0,,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-18,Postage,PC-389,,3866.0,-111652.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
2007-07-19,Emergency Repair,PC-030,,4295.0,-115947.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
Closing Balance:,,,,,0.0,petty_cash\SATTI_MALL_PettyCash_Jul2007.xlsx,petty_cash,SATTI_MALL
