date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2007-03-01,Garbage Removal,PC-216,,867.0,,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-02,Rickshaw Fare,PC-571,,9111.0,17119.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-03,Courier Charges,PC-320,,3260.0,13859.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-04,Petrol,PC-569,,3431.0,10428.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-05,Phone Balance,PC-019,,3986.0,6442.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-06,Petrol,PC-013,,11482.0,-5040.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-07,Security Tip,PC-563,,,-7301.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-08,Small Tool Purchase,PC-131,10374.0,,3073.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-09,Security Tip,PC-982,,,-4578.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-10,Petrol,PC-268,,6717.0,-11295.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-11,Rickshaw Fare,PC-740,364.0,,-10931.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-12,Newspaper,PC-779,,8635.0,-19566.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-13,Rickshaw Fare,PC-557,,680.0,-20246.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-14,Rickshaw Fare,PC-211,,9871.0,-30117.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-15,Courier Charges,PC-116,,14995.0,-45112.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-16,Photocopies,PC-991,,,-50514.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-17,Small Tool Purchase,PC-699,,3679.0,-54193.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
2007-03-18,Misc Stationery,PC-809,,10713.0,-64906.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
Closing Balance:,,,,,0.0,petty_cash\SATTI_MALL_PettyCash_Mar2007.xlsx,petty_cash,SATTI_MALL
