date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2007-05-01,Emergency Repair,PC-641,,12340.0,18732.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-02,Phone Balance,PC-588,,,28147.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-03,Garbage Removal,PC-706,,6270.0,21877.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-04,Small Tool Purchase,PC-505,,7026.0,14851.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-05,Courier Charges,PC-214,,8473.0,6378.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-06,Postage,PC-355,,9015.0,-2637.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-07,Small Tool Purchase,PC-819,,,5669.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-08,Postage,PC-622,,3041.0,2628.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-09,Tea & Refreshment,PC-034,,5577.0,-2949.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-10,Tea & Refreshment,PC-316,,,,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-11,Photocopies,PC-777,,7591.0,-5782.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-12,Water Supply,PC-538,238.0,,-5544.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-13,Rickshaw Fare,PC-846,,13630.0,-19174.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-14,Newspaper,PC-618,,14715.0,-33889.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-15,Newspaper,PC-945,,3518.0,-37407.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-16,Misc Stationery,PC-397,,,-44441.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-17,Emergency Repair,PC-186,,,,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-18,Tea & Refreshment,PC-373,,10184.0,-56574.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-19,Rickshaw Fare,PC-934,,2542.0,-59116.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
2007-05-20,Site Cleaning,PC-371,,11343.0,,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
Closing Balance:,,,,,0.0,petty_cash\SATTI_MALL_PettyCash_May2007.xlsx,petty_cash,SATTI_MALL
