date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2013-08-01,Site Cleaning,PC-609,,2658.0,19063.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-02,Garbage Removal,PC-778,4214.0,,23277.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-03,Emergency Repair,PC-700,13347.0,,36624.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-04,Site Cleaning,PC-216,,11774.0,24850.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-05,Courier Charges,PC-075,,2492.0,22358.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-06,Garbage Removal,PC-923,8960.0,,31318.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-07,Water Supply,PC-412,1716.0,,33034.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-08,Photocopies,PC-078,13093.0,,,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-09,Phone Balance,PC-670,,11806.0,34321.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-10,Photocopies,PC-324,,4130.0,30191.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-11,Site Cleaning,PC-685,,14457.0,15734.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-12,Petrol,PC-812,,11071.0,4663.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-13,Phone Balance,PC-782,,4856.0,-193.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-14,Photocopies,PC-738,,6142.0,-6335.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-15,Postage,PC-837,12802.0,,6467.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-16,Misc Stationery,PC-356,3034.0,,9501.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-17,Misc Stationery,PC-972,,1028.0,8473.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-18,Small Tool Purchase,PC-031,,2737.0,5736.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-19,Water Supply,PC-682,,13118.0,-7382.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-20,Emergency Repair,PC-217,,12355.0,-19737.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-21,Photocopies,PC-288,,2146.0,-21883.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-22,Garbage Removal,PC-281,,4422.0,-26305.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-23,Rickshaw Fare,PC-827,,4731.0,-31036.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-24,Garbage Removal,PC-139,,13132.0,-44168.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
2013-08-25,Site Cleaning,PC-826,,10140.0,-54308.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
Closing Balance:,,,,,0.0,petty_cash\SATTI_PLAZA_PettyCash_Aug2013.xlsx,petty_cash,SATTI_PLAZA
