date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2014-06-01,Phone Balance,PC-033,,3863.0,18117.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-02,Phone Balance,PC-317,,,31159.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-03,Security Tip,PC-868,10977.0,,42136.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-04,Courier Charges,PC-929,,2960.0,39176.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-05,Water Supply,PC-333,,12520.0,26656.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-06,Photocopies,PC-298,,2005.0,24651.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-07,Small Tool Purchase,PC-371,2721.0,,27372.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-08,Small Tool Purchase,PC-482,,9145.0,18227.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-09,Newspaper,PC-165,,2746.0,15481.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-10,Small Tool Purchase,PC-919,,12551.0,,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-11,Tea & Refreshment,PC-473,,11825.0,-8895.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-12,Tea & Refreshment,PC-297,,9995.0,-18890.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-13,Phone Balance,PC-946,,5396.0,-24286.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-14,Water Supply,PC-974,,4136.0,-28422.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-15,Small Tool Purchase,PC-604,4872.0,,-23550.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-16,Water Supply,PC-318,10347.0,,-13203.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
2014-06-17,Phone Balance,PC-770,,12325.0,-25528.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
Closing Balance:,,,,,0.0,petty_cash\SATTI_PLAZA_PettyCash_Jun2014.xlsx,petty_cash,SATTI_PLAZA
