date,description,doc_no,credit,debit,balance,_source_file,_folder,_project
2016-01-01,Emergency Repair,PC-254,,7509.0,33040.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-02,Garbage Removal,PC-162,11683.0,,44723.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-03,Emergency Repair,PC-376,,1618.0,43105.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-04,Photocopies,PC-222,,1671.0,41434.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-05,Newspaper,PC-223,,9630.0,31804.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-06,Photocopies,PC-497,,,28978.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-07,Photocopies,PC-036,,6511.0,22467.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-08,Misc Stationery,PC-101,,13484.0,8983.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-09,Water Supply,PC-706,,13580.0,-4597.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-10,Emergency Repair,PC-767,8811.0,,4214.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-11,Misc Stationery,PC-841,,,-10186.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-12,Misc Stationery,PC-803,,3729.0,-13915.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-13,Site Cleaning,PC-292,13715.0,,-200.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-14,Newspaper,PC-060,7085.0,,6885.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2016-01-15,Photocopies,PC-928,2281.0,,9166.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,9166.0,petty_cash\SATTI_APTS_PettyCash_Jan2016.xlsx,petty_cash,SATTI_APTS
2017-01-01,Petrol,PC-170,4506.0,,17220.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-02,Small Tool Purchase,PC-024,,13740.0,3480.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-03,Site Cleaning,PC-806,,1101.0,2379.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-04,Emergency Repair,PC-284,,5178.0,-2799.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-05,Site Cleaning,PC-039,,14189.0,-16988.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-06,Emergency Repair,PC-793,,13913.0,-30901.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-07,Emergency Repair,PC-768,,3930.0,-34831.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-08,Photocopies,PC-175,,5088.0,-39919.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-09,Emergency Repair,PC-607,,6406.0,-46325.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2017-01-10,Photocopies,PC-873,,5004.0,-51329.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
Closing Balance:,,,,,0.0,petty_cash\SATTI_APTS_PettyCash_Jan2017.xlsx,petty_cash,SATTI_APTS
2018-01-01,Security Tip,PC-361,,1456.0,29389.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-02,Photocopies,PC-721,,14928.0,14461.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-03,Rickshaw Fare,PC-726,,5051.0,9410.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-04,Rickshaw Fare,PC-576,,2139.0,7271.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-05,Security Tip,PC-263,12816.0,,20087.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-06,Security Tip,PC-405,,14804.0,5283.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-07,Site Cleaning,PC-641,,12695.0,-7412.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-08,Garbage Removal,PC-597,,703.0,-8115.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-09,Phone Balance,PC-528,,6124.0,-14239.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-10,Emergency Repair,PC-783,,14600.0,-28839.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-11,Tea & Refreshment,PC-946,,5878.0,-34717.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
2018-01-12,Petrol,PC-393,7003.0,,-27714.0,petty_cash\SATTI_APTS_PettyCash_Jan2018.xlsx,petty_cash,SATTI_APTS
