row_no,description,qty,unit,unit_2,amount,_source_file,_folder,_project
Bill No: BILL-18-449,,Date: 23/03/2016,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
Vendor: Karachi Sanitary Depot,Project: SATTI_APTS,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
PO Ref: PO-MALL-684,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
1,Armoured Cable 95,arm_cable_95,,PKR 901,24957.7,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
2,Bajri 3/4,coarse agg,89.5,57,5101.5,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
3,PIP-GI2,"G.I.Pipe 2""",172,341.0,58652.0,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
4,CEMENT-50,CEM-OPC50,383.3,977.0,374484.1,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
5,Steel Bar 16,STL-RB16,222/-,158,35091.8,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
6,PAI-OIL-W,White Oil Paint 4L,45,1534,69030.0,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
7,25KVA Genset,gen_25kva,67.8,848280,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
8,M20 Concrete,CNC-M20,360,434,156240.0,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
9,PLY-MR12,12mm MR Plywood Sheet,493.4,2515,1240901.0,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
10,S.Bar 12mm,S.Bar 12mm,108.0,113,12204.0,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
,,,,Grand Total:,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
,,,,Payment Status:,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
Prepared by:,Asif,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS
