row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL11677   Pioneer Generators Ltd   13/10/17,,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
1,WIR-CP3,WIR-CP3,18.7,60.0,1122.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
2,SND-RV,SND-RV,140,30.0,4200.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
3,WIRE_7029,Copper Wire 7/.029,392.2,82.0,32160.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
4,GI PIPE 2IN,GalvPipe-2,330.4,272.0,89868.8,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
5,TIL-CER-12,floor_tile_12,333.8,87.0,29041.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
6,BRICK-CLA,BRICK-CLA,417,14996.0,6253332.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
7,STL-RB16,REBAR-16MM,222.5,130.0,28925.0,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
,,,,,6443756.79,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
,,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
Prepared by:,TARIQ,,,,,purchase_bills\SATTI_APTS_Bill_17_BILL11677.xlsx,purchase_bills,SATTI_APTS
