row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL/13/487   Karachi Sanitary Depot   23.03.2017,,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
1,COPPER WIRE 3/.029,wire_3029,162,60.0,9720.0,,9720.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
2,CEM_OPC_50,Cement Bag 50Kg,463.6,902.0,,71088.42,489256.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
3,GALVPIPE-2,gi_pipe_2inch,370/-,306.0,113281.2,19257.8,132539.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
4,RMC_M20,RMC-M20,160.3,367.0,58830.1,10001.12,68831.22,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
5,GI PIPE 1IN,"G.I.Pipe 1""",241.8,193.0,46667.4,,54600.86,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
6,COMMODE STANDARD,toilet_std,116.1,14180.0,1646298.0,,1646298.0,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
7,MARBLE WHT,MRB-IMP,29.6,704.0,,,20838.4,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
,,,,,2422083.1,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_18_BILL_13_487.xlsx,purchase_bills,SATTI_APTS
