row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
Bill No: BILL 18 697,,Date: 16/05/17,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
Vendor: Al-Rehman Hardware,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
PO Ref: PO-PLZ-9772,,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
1,STL-RB16,rebar 5/8 inch,49.1,155.0,7610.5,1293.79,8904.29,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
2,CEMENT BAG 50KG,cem_opc_50,404.1,896.0,362073.6,,362073.6,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
3,ARMOURED CABLE 95,Armoured Cable 95,137.9,876.0,,20536.07,141336.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
4,"CER.TILE 12""","Tile 12x12""",116,90.0,10440.0,1774.8,12214.8,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
5,WHITE MARBLE IMP.,MAR-W-IMP,78.6,604.0,47474.4,,47474.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
6,PIP-GI-1,gi_pipe_1inch,58.3,176.0,10260.8,1744.34,12005.0,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
7,AGG-CRS-34,"C.Agg 3/4""",332.5,50.0,16625.0,2826.25,19451.25,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
8,"A.WIN 4""",Alum Window 4ft,313.8,,,,4229396.4,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
,,,,,4832856.35,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_20_BILL 18 697.xlsx,purchase_bills,SATTI_APTS
