row_no,description,qty,unit,unit_2,amount,_source_file,_folder,_project
Bill No: BILL-07-968,,Date: 19/06/06,,,,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
Vendor: Pioneer Generators Ltd,Project: SATTI_MALL,,,,,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
PO Ref: PO-MALL-6856,,,,,,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
1,Steel Bar 12,STL-RB12,124.3,135,16780.0,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
2,25KVA Genset,Generator 25KVA,125.4,"1,006,212/-",126178984.8,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
3,SAN-WC-STD,Standard WC/Commode,205.6,12039,2475218.0,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
4,Sand (Fine),SAND-RIVER,285.1,PKR 39,11118.9,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
5,Red Brick A-Grade,Class A Brick,139.2,15781,2196715.2,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
6,GLASS-6MM,6mm Clear Glass,480.9,226,108683.0,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
7,STL-RB16,Steel Bar 16,418.2,135,56457.0,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
,,,,Grand Total:,152919915.65,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
,,,,Payment Status:,,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
Prepared by:,Tariq,,,,,purchase_bills\SATTI_MALL_Bill_09_BILL-07-968.xlsx,purchase_bills,SATTI_MALL
