row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
Bill No: BILL-12-215,,"Date: August 17, 2011",,,,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
Vendor: Tariq & Sons Electricals,PROJECT: SATTI_PLAZA,,,,,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
PO Ref: PO-PLZ-4305,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
1,CEM_OPC_50,OPC Cement 50kg Bag,218.5,994.0,217189.0,,217189.0,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
2,ARM_CABLE_95,AC-95sq,463.2,860.0,398352.0,,398352.0,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
3,CNC-RDY-M20,RMC-M20,6.9,368.0,2539.0,,2539.2,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
4,PLY-MR-12,Plywood 12mm MR,422.7,2074.0,876680.0,149035.57,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
5,ALU-WIN4,ALM-W4,225.7,13470.0,3040179.0,516830.43,3557009.43,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
,,,,,5200805.0,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_PLAZA_Bill_03_BILL-12-215.xlsx,purchase_bills,SATTI_PLAZA
