row_no,description,qty,unit,unit_2,amount,_source_file,_folder,_project
BILL-14-048   Allied Cables & Wires   09.12.2011,,,,,,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
1,25KVA Genset,GEN-25K,73.4,979219,71874674.6,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
2,"Tile 12x12""",floor_tile_12,318.1,77,24493.7,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
3,W.C. Std.,SAN-WC,254.4,13229,3365457.6,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
4,GalvPipe-2,GalvPipe-2,211.7,333,70496.1,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
5,WIR-COP-7,Copper Wire 7/.029,76.9,,7690.0,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
6,PIP-GI-1,GalvPipe-1,393.3,164,64501.2,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
7,river_sand,SND-RV,372.5,36,13410.0,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
8,Bajri 3/4,Bajri 3/4,211.2,60/-,12672.0,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
,,,,Grand Total:,76020075.19,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
,,,,Payment Status:,,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,Kamran,,,,,purchase_bills\SATTI_PLAZA_Bill_09_BILL-14-048.xlsx,purchase_bills,SATTI_PLAZA
