row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
Bill No: BILL14201,,Date: 2012/02/01,,,,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
Vendor: Crown Cement Pvt Ltd,PROJECT: SATTI_PLAZA,,,,,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
PO Ref: PO-PLZ-259,,,,,,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
1,WIRE-7/029,wire_7029,481.7,,41426.2,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
2,ENAMEL WH.,paint_oil_w,246.3,1928.0,474866.4,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
3,MRB-IMP,Marble Wht,404.8,647.0,261906.0,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
4,CNC-M20,RMC-M20,161.9,394.0,63788.6,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
5,ARMD-CBL-95,AC-95sq,TBD,969.0,286339.5,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
6,S.BAR 12MM,S.Bar 12mm,376/-,119.0,44755.9,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
7,"G.I.PIPE 1""",gi_pipe_1inch,,157.0,60240.9,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
8,STL-RB16,S.Bar 16mm,145.7,145.0,21126.5,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
,,,,,1342454.79,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,NASIR,,,,,purchase_bills\SATTI_PLAZA_Bill_16_BILL14201.xlsx,purchase_bills,SATTI_PLAZA
