row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
Invoice #,BILL/14/297,Vendor:,Hafiz Glass & Aluminum,,,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
Project,SATTI_PLAZA,Date:,16/06/2013,,,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
1,GI_PIPE_2INCH,"2"" GI Pipe",TBD,302.0,18331.4,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
2,CEM-OPC50,CEMENT-50,310.0,1090.0,337900.0,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
3,WIRE-7/029,WIR-CP7,380/-,105.0,39910.5,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
4,WC-STD,Standard WC/Commode,174.9,13641.0,2385810.9,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
5,MR PLY 12,MR Ply 12,376.4,2232.0,840124.8,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
6,"A.WIN 4""",al_window_4,26.5,13066.0,346249.0,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
,,,,,4500121.0,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,TARIQ,,,,,purchase_bills\SATTI_PLAZA_Bill_20_BILL_14_297.xlsx,purchase_bills,SATTI_PLAZA
