row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
Date: 21/12/2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
1,OPC Cement 50kg Bag,bag,1056.0,958.0,1068.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
2,Ceramic Floor Tile 12x12,sft,75.0,95.0,87.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
3,BRK-A,1000,12992.0,13234.0,11990.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
4,"G.I.Pipe 1""",rft,199.0,174.0,174.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
5,CBL-ARM95,mtr,929.0,965.0,877.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
6,"2"" GI Pipe",rft,323.0,328.0,347.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
7,GLASS-6MM,sft,190.0,191.0,189.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
8,CopWire3,mtr,55.0,53.0,61.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
Prepared by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS
