row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
Date: 05-Nov-2007,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
1,ALU-WIN4,nos,12928.0,16122.0,12848.0,14139.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
2,CEMENT-50,bag,1024.0,872.0,887.0,826.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
3,WIR-CP7,mtr,104.0,86.0,102.0,98.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
4,6mm_glass,sft,202.0,207.0,248.0,232.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
5,PLYWD-12,sht,2009.0,2046.0,2241.0,,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
6,Reti (River),cft,36.0,33.0,32.0,37.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,PM,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL
