row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
Date: 02-May-2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
1,Steel Bar 16,kg,160.0,122.0,154.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
2,25KVA Genset,nos,1077055.0,917210.0,816426.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
3,ARMD-CBL-95,mtr,842.0,825.0,908.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
4,Oil Paint (White) 4Ltr,tin,1688.0,1894.0,1699.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
5,"1"" GI Pipe",rft,179.0,162.0,190.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
6,Cement Bag 50Kg,bag,1036.0,928.0,975.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
7,WIR-CP3,mtr,54.0,48.0,56.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
8,"Cer.Tile 12""",sft,84.0,96.0,93.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
9,CopWire7,mtr,108.0,97.0,105.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
10,gi_pipe_2inch,rft,298.0,288.0,318.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
11,Red Brick A-Grade,1000,13127.0,13360.0,15169.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,Site Engineer,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL
