row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
Date: 17/04/2007,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
1,river_sand,cft,37.0,36.0,37.0,40.0,31.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
2,PLY-MR12,sht,2489.0,2155.0,1970.0,2429.0,2466.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
3,arm_cable_95,mtr,747.0,750.0,750.0,835.0,859.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
4,"Tile 12x12""",sft,79.0,92.0,89.0,89.0,95.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
5,Coarse Aggregate 3/4 inch,cft,55.0,51.0,55.0,55.0,57.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
6,Standard WC/Commode,nos,12674.0,11347.0,13773.0,10750.0,11046.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
7,GalvPipe-1,rft,165.0,181.0,176.0,185.0,205.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
8,Class A Brick,1000,14847.0,13656.0,15935.0,15733.0,15704.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
9,CNC-M20,cft,421.0,443.0,428.0,,415.0,Bismillah Timber Mart,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
10,GLASS-6MM,sft,226.0,208.0,198.0,225.0,202.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
11,REBAR-12MM,kg,127.0,130.0,115.0,124.0,146.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,PM,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL
