row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
Date: 02/07/12,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
1,Standard WC/Commode,nos,13070.0,11169.0,13597.0,13171.0,10837.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
2,cem_opc_50,bag,823.0,1067.0,866.0,1026.0,863.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
3,Sand (Fine),cft,40.0,36.0,31.0,39.0,36.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
4,"Cer.Tile 12""",sft,84.0,81.0,87.0,84.0,90.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
5,Imported White Marble,sft,644.0,615.0,676.0,604.0,736.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
6,Bajri 3/4,cft,,60.0,49.0,59.0,51.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
7,WIR-CP3,mtr,59.0,,57.0,59.0,54.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
8,OIL-PAINT-W,tin,,1649.0,2007.0,1705.0,1544.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
9,ply_mr_12mm,sht,1970.0,2384.0,2272.0,2025.0,2228.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,Procurement Dept,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_PLAZA
