month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
Mar-2015,2015-03-11,2015-04-01,508,6804.0,340,7144.0,2015-04-18,,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2015,2015-04-08,2015-04-29,294,5364.0,,5364.0,2015-05-13,,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
May-2015,2015-05-10,2015-05-31,580,8343.0,,8343.0,2015-06-19,Paid,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2015,2015-06-13,2015-07-04,420,10081.0,504,10585.0,2015-07-21,,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2015,2015-07-01,2015-07-22,290,2861.0,,2861.0,2015-08-08,Disputed,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2015,2015-08-07,2015-08-28,390,9732.0,,9732.0,2015-08-29,Disputed,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2015,2015-09-07,2015-09-28,655,13348.0,,13348.0,2015-09-23,,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2015,2015-10-01,2015-10-22,790,11587.0,,11587.0,2015-11-15,,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2015,2015-11-06,2015-11-27,610/-,14031.0,,14031.0,2015-12-22,Late Payment,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
Dec-2015,2015-12-10,2015-12-31,66,1372.0,,1372.0,2016-01-10,Paid,utility_bills\SATTI_APTS_SNGPL_Bills.xlsx,utility_bills,SATTI_APTS
