month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
Mar-2015,2015-03-10,2015-03-31,192,3927.0,,3927.0,2015-04-22,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2015,2015-04-07,2015-04-28,65.0,587.0,,587.0,2015-05-01,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
May-2015,2015-05-07,2015-05-28,795,11405.0,570,11975.0,2015-05-28,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2015,2015-06-14,2015-07-05,276,2656.0,,2656.0,2015-07-18,Disputed,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2015,2015-07-12,2015-08-02,557,6459.0,,6459.0,2015-08-12,Late Payment,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2015,2015-08-04,2015-08-25,429,7367.0,,7367.0,2015-08-24,Disputed,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2015,2015-09-07,2015-09-28,651,8861.0,,8861.0,2015-10-16,Late Payment,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2015,2015-10-06,2015-10-27,PKR 135,2517.0,,2517.0,2015-10-31,Late Payment,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2015,2015-11-13,2015-12-04,356,4400.0,,4400.0,2015-12-07,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Dec-2015,2015-12-02,2015-12-23,469,10787.0,,10787.0,2016-01-14,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jan-2016,2016-01-01,2016-01-22,763,14639.0,,14639.0,2016-02-19,Disputed,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Feb-2016,2016-02-12,2016-03-04,333,4397.0,220,4617.0,2016-03-31,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Mar-2016,2016-03-11,2016-04-01,59,850.0,,850.0,2016-04-22,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2016,2016-04-03,2016-04-24,211,2291.0,,2291.0,2016-04-19,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
May-2016,2016-05-09,2016-05-30,101,2327.0,116,2443.0,2016-05-31,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2016,2016-06-09,2016-06-30,72,1372.0,,1372.0,2016-07-27,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2016,2016-07-13,2016-08-03,135,1535.0,,1535.0,2016-08-29,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2016,2016-08-12,2016-09-02,491,9637.0,,9637.0,2016-09-16,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2016,2016-09-10,2016-10-01,776,10554.0,,10554.0,2016-10-28,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2016,2016-10-02,2016-10-23,658/-,14752.0,,14752.0,2016-11-16,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2016,2016-11-03,2016-11-24,773,10873.0,,10873.0,2016-12-08,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Dec-2016,2016-12-08,2016-12-29,446,6963.0,,6963.0,2017-01-12,Disputed,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jan-2017,2017-01-09,2017-01-30,119,1113.0,,1113.0,2017-02-04,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Feb-2017,2017-02-14,2017-03-07,390,8933.0,PKR 447,9380.0,2017-03-08,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Mar-2017,2017-03-08,2017-03-29,501,,,,2017-03-28,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2017,2017-04-02,2017-04-23,211,3298.0,165,3463.0,2017-04-19,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
May-2017,2017-05-02,2017-05-23,699,14570.0,,14570.0,2017-06-11,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2017,2017-06-03,2017-06-24,721,7689.0,,7689.0,2017-07-07,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2017,2017-07-12,2017-08-02,564.0,12998.0,TBD,13648.0,2017-08-10,,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2017,2017-08-05,2017-08-26,PKR 682,12136.0,,12136.0,2017-08-28,Late Payment,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2017,2017-09-02,2017-09-23,205/-,3931.0,197,4128.0,2017-10-13,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2017,2017-10-05,2017-10-26,782,12607.0,630,13237.0,2017-11-02,Paid,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2017,2017-11-13,2017-12-04,338,6502.0,,6502.0,2017-12-22,Disputed,utility_bills\SATTI_APTS_WASA_Bills.xlsx,utility_bills,SATTI_APTS
