month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
May-2006,2006-05-05,2006-05-26,TBD,4580.0,,4580.0,2006-06-05,Paid,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jun-2006,2006-06-09,2006-06-30,142,1675.0,84,1759.0,2006-06-28,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jul-2006,2006-07-08,2006-07-29,692,15916.0,796,16712.0,2006-08-13,Disputed,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Aug-2006,2006-08-12,2006-09-02,126,1274.0,,1274.0,2006-10-02,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Sep-2006,2006-09-13,2006-10-04,748,15256.0,,15256.0,2006-10-30,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Oct-2006,2006-10-12,2006-11-02,316.0,5023.0,,5023.0,2006-11-24,Paid,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Nov-2006,2006-11-12,2006-12-03,75/-,1584.0,,1584.0,2006-12-24,Paid,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Dec-2006,2006-12-02,2006-12-23,125,2676.0,134,2810.0,2007-01-14,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jan-2007,2007-01-10,2007-01-31,234/-,2690.0,134,2824.0,2007-02-07,Paid,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Feb-2007,2007-02-08,2007-03-01,479,9142.0,457,9599.0,2007-03-02,Disputed,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Mar-2007,2007-03-03,2007-03-24,84,877.0,44.0,921.0,2007-03-30,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Apr-2007,2007-04-04,2007-04-25,161,3694.0,,3694.0,2007-04-23,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
May-2007,2007-05-06,2007-05-27,587.0,6880.0,,6880.0,2007-06-19,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jun-2007,2007-06-10,2007-07-01,309,5354.0,,5354.0,2007-06-27,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jul-2007,2007-07-10,2007-07-31,503,10884.0,,10884.0,2007-08-21,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Aug-2007,2007-08-06,2007-08-27,764,11914.0,,11914.0,2007-09-25,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Sep-2007,2007-09-06,2007-09-27,245,5819.0,,5819.0,2007-09-27,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Oct-2007,2007-10-10,2007-10-31,640,5648.0,,5648.0,2007-11-26,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Nov-2007,2007-11-04,2007-11-25,713,16178.0,809,16987.0,2007-11-22,Late Payment,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Dec-2007,2007-12-13,2008-01-03,639,15469.0,,15469.0,2008-01-31,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Jan-2008,2008-01-05,2008-01-26,585,7215.0,,7215.0,2008-02-19,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
Feb-2008,2008-02-06,2008-02-27,178.0,2653.0,,2653.0,2008-03-28,,utility_bills\SATTI_MALL_WASA_Bills.xlsx,utility_bills,SATTI_MALL
