month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
Apr-2011,2011-04-10,2011-05-01,572,13831.0,,13831.0,2011-04-28,Disputed,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
May-2011,2011-05-13,2011-06-03,54,691.0,,691.0,2011-06-01,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Jun-2011,2011-06-08,2011-06-29,61,995.0,,995.0,2011-06-25,,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Jul-2011,2011-07-11,2011-08-01,758,6680.0,,6680.0,2011-07-30,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Aug-2011,2011-08-05,2011-08-26,,9620.0,,9620.0,2011-08-21,Paid,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Sep-2011,2011-09-09,2011-09-30,PKR 294,2365.0,118,2483.0,2011-10-15,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Oct-2011,2011-10-15,2011-11-05,92,1031.0,52,1083.0,2011-11-29,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Nov-2011,2011-11-01,2011-11-22,590,5945.0,,5945.0,2011-11-24,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Dec-2011,2011-12-02,2011-12-23,145,3546.0,,3546.0,2011-12-18,,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Jan-2012,2012-01-06,2012-01-27,,6776.0,,6776.0,2012-02-04,,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Feb-2012,2012-02-09,2012-03-01,479,11302.0,,11302.0,2012-03-10,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Mar-2012,2012-03-03,2012-03-24,TBD,12554.0,,12554.0,2012-03-22,Late Payment,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Apr-2012,2012-04-14,2012-05-05,660.0,6661.0,,6661.0,2012-05-19,Disputed,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
May-2012,2012-05-04,2012-05-25,720,10526.0,,10526.0,2012-06-01,,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Jun-2012,2012-06-11,2012-07-02,280,5759.0,,5759.0,2012-07-14,Disputed,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Jul-2012,2012-07-06,2012-07-27,794,18718.0,,18718.0,2012-08-05,Disputed,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
Aug-2012,2012-08-08,2012-08-29,PKR 708,,753,15818.0,2012-08-26,Disputed,utility_bills\SATTI_PLAZA_WASA_Bills.xlsx,utility_bills,SATTI_PLAZA
