month,date,date_2,unit,amount,late_fee,total_paid,date_3,remarks,_source_file,_folder,_project
Mar-2015,2015-03-06,2015-03-27,14841,184271.0,9214,193485.0,2015-04-01,Paid,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2015,2015-04-10,2015-05-01,,28130.0,,28130.0,2015-05-29,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
May-2015,2015-05-12,2015-06-02,6608,116109.0,,116109.0,2015-06-02,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2015,2015-06-09,2015-06-30,13752,156953.0,,156953.0,2015-06-30,Paid,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2015,2015-07-11,2015-08-01,5802,110284.0,5514,115798.0,2015-07-31,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2015,2015-08-13,2015-09-03,6792,87214.0,,87214.0,2015-09-03,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2015,2015-09-14,2015-10-05,"5,185/-",71433.0,,71433.0,2015-10-15,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2015,2015-10-03,2015-10-24,"PKR 9,991",227556.0,,,2015-10-29,Paid,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2015,2015-11-06,2015-11-27,TBD,176020.0,,176020.0,2015-12-21,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Dec-2015,2015-12-07,2015-12-28,"PKR 14,882",213553.0,,213553.0,2016-01-17,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jan-2016,2016-01-13,2016-02-03,13661,310064.0,,310064.0,2016-02-03,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Feb-2016,2016-02-07,2016-02-28,4411,46363.0,,46363.0,2016-03-20,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Mar-2016,2016-03-06,2016-03-27,2532,,,38810.0,2016-04-13,Late Payment,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Apr-2016,2016-04-02,2016-04-23,1685,,1263,26523.0,2016-05-11,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
May-2016,2016-05-12,2016-06-02,7729,109022.0,,109022.0,2016-07-02,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jun-2016,2016-06-11,2016-07-02,5492,,,74106.0,2016-07-30,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jul-2016,2016-07-07,2016-07-28,13893,175806.0,8790,184596.0,2016-08-07,Late Payment,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Aug-2016,2016-08-04,2016-08-25,3805,76855.0,3843,80698.0,2016-09-08,Late Payment,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Sep-2016,2016-09-15,2016-10-06,10757,139990.0,,139990.0,2016-10-31,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Oct-2016,2016-10-08,2016-10-29,2680,60979.0,,60979.0,2016-11-25,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Nov-2016,2016-11-11,2016-12-02,13519,259630.0,12982,272612.0,2016-11-29,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Dec-2016,2016-12-10,2016-12-31,4091.0,59105.0,,59105.0,2017-01-02,,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Jan-2017,2017-01-13,2017-02-03,"1,230/-",29073.0,,29073.0,2017-02-16,Disputed,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
Feb-2017,2017-02-10,2017-03-03,1785,37555.0,,37555.0,2017-03-14,Paid,utility_bills\SATTI_APTS_IESCO_Bills.xlsx,utility_bills,SATTI_APTS
