row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project
Super Steel & Iron Works,,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03911234567   City: Lahore,,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
"Date: September 24, 2008",,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,WHITE MARBLE IMP.,MAR-W-IMP,sft,619,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,GRAVEL-3/4,coarse agg,cft,52,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,GI PIPE 2IN,"2"" GI Pipe",rft,316,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,SHEESHA 6MM,Clear Glass 6,sft,242,bulk discount avail.,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,WIRE-7/029,WIR-CP7,mtr,99,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,CBL-ARM95,AC-95sq,mtr,883,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,CNC-RDY-M20,M20 Concrete,cft,403.0,inclusive GST,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,PLY-MR12,PLY-MR12,sht,2389,inclusive GST,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,STL-RB12,REBAR-12MM,kg,146,bulk discount avail.,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,GEN-25KVA,25KVA Genset,nos,1081925.0,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
11,COMMODE STANDARD,toilet_std,nos,11997,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
12,ALU-WIN4,"A.Win 4""",nos,15583,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
13,CEM-OPC-50,cem_opc_50,bag,PKR 874,negotiable,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
14,ENAMEL WH.,Oil Paint (White) 4Ltr,tin,1873,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
15,BRK-A,Class-A Red Brick,1000,15874,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
16,FLOOR_TILE_12,TIL-CER12,sft,82,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
17,COPWIRE3,wire_3029,mtr,59,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
18,RETI (RIVER),SAND-RIVER,cft,30,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
19,REBAR-16MM,16mm Steel Rebar,kg,160,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
20,PIP-GI1,"1"" GI Pipe",rft,204,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL
