row_no,item_code,description,unit,unit_2,,_source_file,_folder,_project
Green Marble & Granite,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Contact: 03001112233   City: Islamabad,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
Date: 24/06/2005,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
1,REBAR 1/2 INCH,rebar 1/2 inch,kg,141,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
2,COARSE AGG,Coarse Aggregate 3/4 inch,cft,59,subject to change,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
3,CNC-RDY-M20,M20 Ready Mix Concrete,cft,483,ex-works,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
4,OIL PAINT (WHITE) 4LTR,White Oil Paint 4L,tin,2016,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
5,GALVPIPE-2,gi_pipe_2inch,rft,314,negotiable,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
6,COPWIRE3,Copper Wire 3/.029,mtr,48,bulk discount avail.,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
7,RIVER_SAND,Sand (Fine),cft,39,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
8,ARMOURED CABLE 95,Armoured Cable 95,mtr,909,inclusive GST,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
9,CEM-OPC50,cem_opc_50,bag,"1,071/-",bulk discount avail.,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
10,MARBLE WHT,Marble Wht,sft,654.0,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
11,TILE-12X12,"Tile 12x12""",sft,75,subject to change,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
12,GEN_25KVA,25 KVA Generator,nos,1083494,inclusive GST,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
13,PIP-GI1,GalvPipe-1,rft,179,inclusive GST,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
14,PLYWD-12,MR Ply 12,sht,2019,negotiable,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
15,6MM_GLASS,Sheesha 6mm,sft,PKR 229,subject to change,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
16,SAN-WC,WC-STD,nos,13260,inclusive GST,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL
