file,issue,row,col,original,cleaned
bank_statements\BankStatement_HBL_345678.xlsx,UNPARSEABLE_DATE,0,date,Account: HBL-0012345678  –  Construction Account,Account: HBL-0012345678  –  Construction Account
bank_statements\BankStatement_HBL_345678.xlsx,UNPARSEABLE_DATE,1,date,Generated: 09-01-2018,Generated: 09-01-2018
bank_statements\BankStatement_HBL_345678.xlsx,UNPARSEABLE_AMOUNT,9,debit,TBD,
bank_statements\BankStatement_HBL_345678.xlsx,UNPARSEABLE_AMOUNT,59,credit,TBD,
bank_statements\BankStatement_HBL_345678.xlsx,UNPARSEABLE_AMOUNT,32,balance,TBD,
bank_statements\BankStatement_MCB_776655.xlsx,UNPARSEABLE_DATE,0,date,Account: MCB-9988776655  –  Operations Account,Account: MCB-9988776655  –  Operations Account
bank_statements\BankStatement_MCB_776655.xlsx,UNPARSEABLE_DATE,1,date,Generated: 01/09/2018,Generated: 01/09/2018
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_DATE,0,date,Account: Meezan-1122334455  –  Project Account – Plaza,Account: Meezan-1122334455  –  Project Account – Plaza
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_DATE,1,date,Generated: 01/09/18,Generated: 01/09/18
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_AMOUNT,15,debit,TBD,
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_AMOUNT,26,debit,TBD,
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_AMOUNT,97,debit,TBD,
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_AMOUNT,38,credit,TBD,
bank_statements\BankStatement_Meezan Bank_334455.xlsx,UNPARSEABLE_AMOUNT,76,credit,TBD,
contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,19,rate,Net Payable:,
contractor_bills\SATTI_APTS_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,20,rate,Approved:,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,12,rate,TBD,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,10,amount,TBD,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,13,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,12,amount,TBD,
