project,nan,nan_2,nan_3,nan_4,_source_file,_folder,_project
"Location: 56-C Satellite Town, RWP",,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Period: 2015-03-01 to 2018-07-31,,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Piling & Foundation,3437958,2431510,-1006448,70.7%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Structural Concrete,"PKR 2,148,193",2296822,148629,106.9%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Masonry,2846535,2955553,"PKR 109,018",103.8%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Plastering & Rendering,5687314.0,6214120,526806,109.3%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Flooring,5328635,4650569,,87.3%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Doors & Windows,5143979,5561942,417963,108.1%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Electrical Works,1675717,1483434,-192283,88.5%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Plumbing & Sanitary,"PKR 531,332",409161,-122171,77.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Painting & Finishing,792147,721038,-71109,91.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
HVAC & Elevators,1265634,1136140,-129494,89.8%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Site Overhead,6695493,5063526,-1631967,75.6%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Contingency,4301307,5159498,858191,120.0%,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
Note: Figures in PKR. Some costs estimated.,,,,,cost_summaries\SATTI_APTS_CostSummary.xlsx,cost_summaries,SATTI_APTS
"Location: Haji Chowk, Rawalpindi",,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Period: 2006-05-01 to 2008-02-28,,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Piling & Foundation,TBD,"7,127,450/-",339918.0,105.0%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Structural Concrete,2614542,2583047,-31495,98.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Masonry,1272335,"PKR 1,163,502",-108833,91.4%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Plastering & Rendering,5534647,5052676,-481971,91.3%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Flooring,5110687.0,4890915,-219772,95.7%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Doors & Windows,2921760,3501478,"PKR 579,718",119.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Electrical Works,6384706,"PKR 5,347,798",-1036908,83.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Plumbing & Sanitary,"PKR 5,822,414",5633759,-188655,96.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Painting & Finishing,5465028,4169658,"-1,295,370/-",76.3%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
HVAC & Elevators,4642335,5132408,TBD,110.6%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Site Overhead,7951026,6187575,-1763451,77.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Contingency,1813636,"2,227,869/-",414233,122.8%,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
Note: Figures in PKR. Some costs estimated.,,,,,cost_summaries\SATTI_MALL_CostSummary.xlsx,cost_summaries,SATTI_MALL
"Location: Stadium Road, Rawalpindi",,,,,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Period: 2011-04-01 to 2014-06-30,,,,,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Head of Account,Budgeted Amount,Actual Cost,Variance,% Complete,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Piling & Foundation,549719,386161,,70.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Structural Concrete,"4,157,512/-",3684227,-473285.0,88.6%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Masonry,1694082,"1,841,161/-",147079,108.7%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Plastering & Rendering,3206392,2890933,-315459,90.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Flooring,5146355,"5,466,467/-",320112,106.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Doors & Windows,3543431,2736891,"PKR -806,540",77.2%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
Electrical Works,1232564,978797,-253767,79.4%,cost_summaries\SATTI_PLAZA_CostSummary.xlsx,cost_summaries,SATTI_PLAZA
