doc_no,pv-sat-001,date:,"april_26,_2016",_source_file,_folder,_project,pv-sat-002,09-25-2017,pv-sat-003,09/05/2018,pv-sat-004,10-30-2016,pv-sat-005,10/03/2016,date,vendor,amount,mode,bank,project,remarks,pv-sat-008,"december_31,_2017",pv-sat-009,02/04/2016,pv-sat-010,"november_17,_2017",pv-sat-011,25-jan-2016,pv-sat-012,23-mar-2015,pv-sat-013,03-feb-2018,pv-sat-014,24/07/2016,cheque,pv-sat-016,"october_07,_2015",pv-sat-017,11/05/2016,pv-sat-021,11/12/2016,pv-sat-022,19.06.2016,30/07/07,05-09-2006,pv-sat-006,"may_07,_2007",12-01-2007,"october_18,_2007",13/10/07,10-28-2007,16/07/2006,04.01.2007,01/11/2011,07-apr-2013,16-aug-2012,11-14-2011,pv-sat-007,09-05-2013,30/01/12,2013/11/19,06-30-2013,25/11/2012,pv-sat-015,2013/07/16,19.10.2011,2013/08/26,pv-sat-023,"december_19,_2011",pv-sat-024,05/07/2013,pv-sat-028,"may_30,_2013",pv-sat-029,17/03/2012
PAID TO:,Hafiz Glass & Aluminum,Project:,SATTI_APTS,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,2387966.43,,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,"Rupees 2,387,966 only",,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,Cheque,Bank:,Allied,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,CHQ-424803,,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,Advance,,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,MD,,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,________________________,,,payment_vouchers\SATTI_APTS_PayVoucher_001.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,Noor Finishing & Interior,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,511417.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,"Rupees 511,417 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,Online Transfer,Allied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,Utility Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_002.xlsx,payment_vouchers,SATTI_APTS,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,Iqbal Electrical Contractors,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,825584.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,"Rupees 825,584 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,Running Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_003.xlsx,payment_vouchers,SATTI_APTS,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,Karachi Sanitary Depot,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,1752289.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,"Rupees 1,752,289 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,DD,UBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,Utility Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_004.xlsx,payment_vouchers,SATTI_APTS,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,Hafiz Glass & Aluminum,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
