row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
"BILL/15/093   Metro Plumbing Supplies   December 23, 2016",,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
1,SAND-RIVER,River Sand,PKR 232,39.0,9048.0,1538.16,10586.16,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
2,BRK-CLS-A,Red Brick A-Grade,302.1,12928.0,3905548.8,663943.0,4569492.1,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
3,AGG-CRS-34,AGG-CRS34,427.6,58.0,24801.0,,24800.8,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
4,GALVPIPE-1,GI PIPE 1IN,307.5,,58425.0,9932.25,68357.25,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
5,REBAR-12MM,REBAR-12MM,187.4,125.0,23425.0,3982.25,27407.25,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
6,COPWIRE3,Copper Wire 3/.029,264.7,58.0,15352.6,,15352.6,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
7,"TILE 12X12""",floor_tile_12,467.3,97.0,45328.1,7705.78,53033.88,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
,,,,,4769030.04,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS
