row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
Invoice #,BILL-12-424,Vendor:,Al-Rehman Hardware,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
Project,SATTI_APTS,Date:,12/12/17,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
1,PIP-GI-1,GI PIPE 1IN,466/-,190.0,88635.0,15067.95,103702.95,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
2,STEEL BAR 16,REBAR-16MM,321.2,128.0,41113.6,6989.31,48102.91,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
3,GLS-CLR-6,6mm Clear Glass,479.4,224.0,107385.6,18255.55,125641.15,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
4,TIL-CER12,Ceramic Floor Tile 12x12,159/-,95.0,15114.5,2569.0,17683.97,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
5,CLASS A BRICK,BRK-A,353.8,15643.0,5534493.4,,5534493.4,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
,,,,,5829624.38,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS
