row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
Bill No: BILL16758,,Date: 02-Jun-2016,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
Vendor: Siemens Pakistan (Electro),PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
PO Ref: PO-MALL-140,,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
1,CLASS A BRICK,bricks_a,72.1,12586.0,907450.6,154266.6,1061717.2,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
2,PAINT_OIL_W,PAI-OIL,384.4,1629.0,626187.6,106451.89,732639.49,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
3,GEN_25KVA,gen_25kva,345.7,834813.0,288594854.1,49061125.2,337655979.3,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
4,STL-RB12,12mm Steel Rebar,112.8,130.0,14664.0,,14664.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
5,WIRE_7029,CopWire7,352.6,104.0,36670.4,6234.0,42904.37,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
6,CEM-OPC50,Cement Bag 50Kg,445.4,978.0,435601.0,,435601.2,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
7,WIRE_3029,WIR-CP3,345.6,52.0,17971.2,3055.1,21026.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
8,ARMOURED CABLE 95,95mm² Armoured Cable,102.2,731.0,74708.2,,74708.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
9,GLS-CLR-6,6mm Clear Glass,392.3,,97290.4,16539.0,113829.77,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
10,RIVER_SAND,SAND-RIVER,179.3,39.0,6993.0,,6992.7,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
,,,,,340160062.53,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS
