row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL-11-731   Tariq & Sons Electricals   2016/03/25,,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
1,CEM_OPC_50,Cement Bag 50Kg,369/-,881.0,325441.4,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
2,STEEL BAR 12,S.Bar 12mm,PKR 484,134.0,64829.2,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
3,ALUM WINDOW 4FT,"A.Win 4""",188.6,16536.0,3118689.6,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
4,BAJRI 3/4,AGG-CRS34,49.4,58.0,2865.2,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
5,PLYWD-12,ply_mr_12mm,183.5,2154.0,395259.0,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
6,WHITE OIL PAINT 4L,PAI-OIL,,2067.0,333200.4,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
7,PIP-GI-1,PIP-GI1,78.6,165.0,12969.0,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
8,ARMOURED CABLE 95,95mm² Armoured Cable,223.6,975.0,218010.0,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
9,BRICK-CLA,Class-A Red Brick,105.8,13093.0,1385239.4,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
10,SAN-WC,toilet_std,TBD,10640.0,5309360.0,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
,,,,,11791119.0,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
,,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
Prepared by:,ASIF,,,,,purchase_bills\SATTI_APTS_Bill_19_BILL-11-731.xlsx,purchase_bills,SATTI_APTS
