row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL/18/121   Pioneer Generators Ltd   24-Apr-2016,,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
1,WHITE OIL PAINT 4L,White Oil Paint 4L,449.5,2044.0,918778.0,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
2,GALVPIPE-2,gi_pipe_2inch,472.1,,127939.0,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
3,"C.AGG 3/4""","C.Agg 3/4""",79.7,56.0,4463.2,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
4,25KVA GENSET,25KVA Genset,443.5,1007225.0,446704287.5,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
5,TOILET_STD,toilet_std,460.6,13251.0,6103410.6,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
6,"TILE 12X12""",TILE-12X12,TBD,92.0,40885.0,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
7,BRICKS_A,bricks_a,371.3,12429.0,4614887.7,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
8,CEM_OPC_50,CEM-OPC50,16.6,1061.0,17612.6,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
9,GI_PIPE_1INCH,"1"" GI Pipe",367.3,198.0,72725.4,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
,,,,,459842818.49,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
,,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
Prepared by:,ASIF,,,,,purchase_bills\SATTI_APTS_Bill_23_BILL_18_121.xlsx,purchase_bills,SATTI_APTS
