row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL/14/938   Karachi Sanitary Depot   15-Jan-2013,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
1,GI PIPE 1IN,GalvPipe-1,PKR 421,200.0,84120.0,,84120.0,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
2,ARM_CABLE_95,CBL-ARM95,212.8,968.0,205990.0,,205990.4,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
3,"G.I.PIPE 2""",GalvPipe-2,448.3,306.0,137179.8,,137179.8,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
4,AGG-CRS-34,Bajri 3/4,332.9,49.0,16312.1,2773.06,19085.16,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
5,STL-RB12,12mm Steel Rebar,472.1,116.0,54763.6,,54763.6,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
6,GLASS-6MM,GLS-CLR6,229/-,218.0,49856.6,,49856.6,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
7,CNC-M20,RMC-M20,78.4,447.0,35044.8,,35044.8,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
8,ALUM WINDOW 4FT,Alum Window 4ft,280.2,14718.0,4123983.6,701077.0,4825060.81,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
9,BRK-A,Class A Brick,189.3,14547.0,2753747.1,,2753747.0,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
10,WIRE_7029,Copper Wire 7/.029,405.6,83.0,33664.8,,33665.0,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
,,,,,8198513.07,,,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_PLAZA_Bill_01_BILL_14_938.xlsx,purchase_bills,SATTI_PLAZA
