row_no,description,qty,unit,unit_2,amount,_source_file,_folder,_project
Bill No: BILL13769,,Date: 03-03-2012,,,,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
Vendor: Tariq & Sons Electricals,Project: SATTI_PLAZA,,,,,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
PO Ref: PO-PLZ-413,,,,,,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
1,CBL-ARM95,AC-95sq,344.4,725,249690.0,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
2,Copper Wire 7/.029,7/0.029 Copper Wire,258.2,98,25303.6,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
3,al_window_4,ALM-W4,182.2,14107,2570295.4,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
4,AGG-CRS34,Coarse Aggregate 3/4 inch,11.3,48,542.4,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
,,,,Grand Total:,3329623.0,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
,,,,Payment Status:,,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,Tariq,,,,,purchase_bills\SATTI_PLAZA_Bill_07_BILL13769.xlsx,purchase_bills,SATTI_PLAZA
