row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL-07-942   Al-Rehman Hardware   30-Apr-2014,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
1,WHITE MARBLE IMP.,Imported White Marble,132.6,656.0,86985.6,,86985.6,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
2,AL_WINDOW_4,4ft Aluminum Window,351.9,13471.0,4740444.9,805875.63,,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
3,PIP-GI2,gi_pipe_2inch,138.2,352.0,,,48646.4,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
4,PLY-MR12,PLY-MR12,,2035.0,214489.0,,214489.0,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
5,6MM_GLASS,6mm Clear Glass,383.3,223.0,85475.9,14530.9,100006.8,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
6,25KVA GENSET,GEN-25K,492.3,1068562.0,526053073.0,89429022.34,615482094.94,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
7,ARM_CABLE_95,ARMD-CBL-95,199.9,898.0,179510.2,30516.73,210027.0,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
8,COPWIRE3,3/0.029 Copper Wire,166.1,57.0,9467.7,1609.51,11077.21,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
9,STL-RB12,rebar 1/2 inch,351.9,,43987.5,,43987.5,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
,,,,,621743635.0,,,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,,,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,KAMRAN,,,,,,,purchase_bills\SATTI_PLAZA_Bill_15_BILL-07-942.xlsx,purchase_bills,SATTI_PLAZA
