row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL 17 123   Fazal Bricks & Tiles   10/08/12,,,,,,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
1,GI PIPE 2IN,GalvPipe-2,71.7,347.0,24879.9,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
2,PLY-MR12,MR Ply 12,177.1,2353.0,416716.3,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
3,CBL-ARM95,Armoured Cable 95,PKR 151,790.0,119606.0,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
4,PAI-OIL-W,paint_oil_w,429.1,1949.0,836315.9,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
5,6MM_GLASS,Sheesha 6mm,251.3,223.0,56039.9,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
6,GEN-25KVA,25 KVA Generator,418.4,844486.0,353332942.0,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
7,CLASS A BRICK,bricks_a,PKR 248,14521.0,3593947.5,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
8,STL-RB12,S.Bar 12mm,248.2,145.0,35989.0,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
9,ALUM WINDOW 4FT,ALU-WIN4,398.2,12579.0,5008957.8,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
10,PIP-GI1,gi_pipe_1inch,TBD,192.0,10195.2,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,NASIR,,,,,purchase_bills\SATTI_PLAZA_Bill_18_BILL 17 123.xlsx,purchase_bills,SATTI_PLAZA
