row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project,unit,unit_2
"BILL 07 020   Metro Plumbing Supplies   April 30, 2017",,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
1,REBAR-16MM,rebar 5/8 inch,330.2,123.0,40614.6,6904.48,47519.08,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
2,WIRE-7/029,CopWire7,168.0,96.0,16128.0,2741.76,18869.76,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
3,FLOOR_TILE_12,TIL-CER12,217.9,95.0,,,20700.0,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
4,S.BAR 12MM,12mm Steel Rebar,PKR 96,143.0,13742.3,2336.19,16078.49,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
5,MARBLE WHT,Marble Wht,TBD,737.0,103548.5,17603.25,121151.75,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
6,BRK-A,BRK-A,345.3,13409.0,4630127.7,,4630127.7,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
7,CEMENT BAG 50KG,Cement Bag 50Kg,239.6,854.0,204618.4,34785.13,239403.53,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
,,,,,5093850.81,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL/15/888,Vendor:,,,,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,Super Steel & Iron Works,
Project,SATTI_APTS,Date:,,,,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,11-28-2017,
1,"G.I.PIPE 2""",GalvPipe-2,,,7320.0,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,24.4,
2,GENSET-25,25KVA Genset,,891410.0,77909234.0,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,87.4,
3,CBL-ARM-95,AC-95sq,,768.0,194150.4,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,252.8,
,,,,,78143710.0,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,,,,,,,,purchase_bills\SATTI_APTS_Bill_02_BILL_15_888.xlsx,purchase_bills,SATTI_APTS,,
"BILL/15/093   Metro Plumbing Supplies   December 23, 2016",,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
1,SAND-RIVER,River Sand,PKR 232,39.0,9048.0,1538.16,10586.16,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
2,BRK-CLS-A,Red Brick A-Grade,302.1,12928.0,3905548.8,663943.0,4569492.1,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
3,AGG-CRS-34,AGG-CRS34,427.6,58.0,24801.0,,24800.8,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
4,GALVPIPE-1,GI PIPE 1IN,307.5,,58425.0,9932.25,68357.25,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
5,REBAR-12MM,REBAR-12MM,187.4,125.0,23425.0,3982.25,27407.25,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
6,COPWIRE3,Copper Wire 3/.029,264.7,58.0,15352.6,,15352.6,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
7,"TILE 12X12""",floor_tile_12,467.3,97.0,45328.1,7705.78,53033.88,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
,,,,,4769030.04,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_03_BILL_15_093.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL08905,,Date: 19/06/2016,,,,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Super Steel & Iron Works,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-APT-4859,,,,,,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
1,SAND-RIVER,Sand (Fine),242.2,,8477.0,1441.09,9918.09,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
2,"G.I.PIPE 1""",GalvPipe-1,32.7,181.0,5919.0,1006.18,6924.88,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
3,PLYWD-12,12mm MR Plywood Sheet,485,2055.0,996675.0,169434.75,1166109.75,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
