row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
Date: 05-Sep-2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
1,3/0.029 Copper Wire,mtr,49.0,47.0,53.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
2,Red Brick A-Grade,1000,12928.0,11958.0,13698.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
3,S.Bar 12mm,kg,125.0,128.0,122.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
4,PLYWD-12,sht,1900.0,2417.0,2069.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
5,GLS-CLR6,sft,228.0,245.0,232.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
6,GI PIPE 2IN,rft,322.0,324.0,343.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
7,gen_25kva,nos,871700.0,867682.0,890971.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
8,CEMENT-50,bag,1027.0,835.0,1015.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
9,Sand (Fine),cft,37.0,37.0,36.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
10,CBL-ARM95,mtr,894.0,733.0,814.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
Prepared by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_APTS
