row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_APTS,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
Date: 07/04/2015,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
1,ALU-WIN4,nos,12563.0,13741.0,,14235.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
2,Reti (River),cft,31.0,36.0,32.0,38.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
3,ply_mr_12mm,sht,2292.0,2192.0,2237.0,2297.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
4,BRK-A,1000,14639.0,13315.0,15818.0,13067.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
5,WIRE-3/029,mtr,61.0,54.0,52.0,51.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
6,REBAR-12MM,kg,148.0,130.0,134.0,139.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
7,95mm² Armoured Cable,mtr,891.0,926.0,778.0,841.0,Allied Cables & Wires,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
8,Ready Mix M20,cft,374.0,459.0,413.0,474.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
9,"G.I.Pipe 1""",rft,189.0,196.0,189.0,167.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
10,rebar 5/8 inch,kg,,,134.0,142.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
11,PIP-GI2,rft,341.0,287.0,327.0,342.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
Prepared by:,Site Engineer,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
Approved by:,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_APTS
