row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_APTS,,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
Date: 03/11/2017,,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
1,PAI-OIL,tin,2062.0,1796.0,1706.0,1867.0,1985.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
2,rebar 5/8 inch,kg,129.0,,144.0,126.0,,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
3,95mm² Armoured Cable,mtr,751.0,940.0,897.0,798.0,816.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
4,"G.I.Pipe 1""",rft,196.0,167.0,156.0,198.0,193.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
5,Commode Standard,nos,14326.0,11533.0,11973.0,11996.0,13743.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
6,WIRE-7/029,mtr,82.0,95.0,82.0,102.0,103.0,National Paint House,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
7,MAR-W-IMP,sft,780.0,,626.0,654.0,664.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
8,"Cer.Tile 12""",sft,73.0,90.0,96.0,72.0,,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
9,gen_25kva,nos,969108.0,918005.0,1024252.0,1074510.0,915555.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
10,GLS-CLR6,sft,194.0,193.0,227.0,208.0,204.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
11,cem_opc_50,bag,971.0,828.0,811.0,1023.0,1027.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
Prepared by:,PM,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
Approved by:,,,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS
