row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
Date: 06-28-2006,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
1,Plywood 12mm MR,sht,2368.0,2385.0,2137.0,2162.0,Bismillah Timber Mart,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
2,MAR-W-IMP,sft,752.0,632.0,692.0,617.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
3,STL-RB12,kg,124.0,141.0,133.0,122.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
4,Ready Mix M20,cft,359.0,455.0,480.0,444.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
5,Class-A Red Brick,1000,12812.0,13695.0,14098.0,12528.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
6,WIRE-7/029,mtr,88.0,88.0,106.0,102.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL
